SKU,Description,Size,imgurl1,productname
 A 20,"
                        	Pregnancy Back Support
                            Code: A 20
                            Sizes Available: S /  M  /  L  /  XL  /  XXL
                            Pregnancy back support offers the advantage of advanced designing and technically correct materials to provide the pregnant mother, effective support and immobilization on one hand and excellent aesthetics and comfort on the other. Pregnancy back support maintains the lumbo sacral region in the neutral position to allay “Pregnancy
low back pain syndrome”..

Extra porous
Aesthetically pleasing
Effective back support
Double pull mechanism
No pressure to the foetus

Salient feature

Split elastic panel

Gives good grip to the back splint panel, ensures no harsh pressures
to the baby, lifts the baby, relieves load, to the mother.


Anatomical pre shaped splints

Relieves back ache associated with last trimester of pregnancy, provides
effective immobilization of the back, comfortable support to the spine,
relieves muscular stress due to wrong posture.


Monofilament stripped elastic

Light in weight, highly porous, more ventilation , improves patient
comfort, long life, better compression.


Double pull elastic mechanism

Extra compression, effective splinting action



						", S ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Pregancy-Back-Support.jpg,Pregnancy Back Support
 A 04,"
                        	L.S. Belt Lumbopore
                            Code: A 04
                            Sizes Available: S /  M  /  L  /  XL 
                            Lumbopore offers the advantage of advanced designing and the technically correct materials so as to provide the patient effective support and immobilization on one hand and excellent aesthetics and comfort on the other. Lumbopore maintains the lumbar and sacral regions in the neutral position to allay low back pain syndrome.

Extra porous
Anatomically shaped
Aesthetically pleasing
Double pull mechanism
Semi rigid contoured splints

Salient feature

Monofilament stripped elastic

Light in weight , highly porous, more ventilation , improves patient
comfort, long life, better compression.


Anatomical shape

Perfect fitting, better immobilization, more comfort.


Pre shaped semi rigid stays

Relieves muscular stress due to wrong posture, effective immobilization.


Double pull elastic mechanism

Extra compression, effective splinting action, ensures firm grip to
the l.s. Region.


Broad hook-loop panel

Ensures easy application and quick removal, better sizing flexibility.



						", S ;  M  ;  L  ;  XL ,http://www.tynorindia.com/wp-content/uploads/2012/01/LS-Belt-Lumbopore.jpg,L.S. Belt Lumbopore
 A 03,"
                        	Tummy Trimmer / Abdominal Belt 8”
                            Code: A 03
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Tummy Trimmer/Abdominal belt supports and compresses the abdominal muscles for waist line reduction and is used as a post operative or post delivery aid.

Perfect elasticity.
Breathable materials.
Dermophillic
No rolling over, no buckling.

Salient feature 

Extra porous three panel  webbing  improves ventilation and comfort of the patient. 
Broad hook and loop tape panel offers better holding and size adjustability.
Optimal compression, tones up abdominal muscles following surgery, CS or  delivery. 
Optimal compression binds surgical incisions of abdomen &amp; chest,  improves healing. 
Holds the incision, provide analgesic effect during sudden movements or coughing.
Special nylon reeves prevent rolling over of belt.
Can be used in ventral hernia.

						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Tummy-Trimmer.jpg,Tummy Trimmer / Abdominal Belt 8”
 A 11,"
                        	Chest Binder
                            Code: A 11
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Chest Binder is applied to the thoracic region to compress and bind the rib cage and provide splinting to the sternum while allowing sufficient flexibility for comfortable breathing. 

Anatomic chest pad
Controlled compression 
Optimum chest splinting
Soft feel

Salient feature 

50 mm thick PUF pad hold and binds the fractured sternum without compromising
    on patient comfort.
Strong elastic band gives good grip and helps in equidistribution of pressure.
Reduces post operative pain and discomfiture.
 Facilitates phlegm expulsion after cardio thoracic surgery. 

						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/A-11.jpg,Chest Binder
  A 16,"
                        	Hernia Belt
                            Code:  A 16
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Hernia belt offers a gentle and constant relief from reducible inguinal hernia
by providing adjustable and comfortable pressure to the hernia. On wearing the
belt the occurrence of herniation gets eliminated. Tynor hernia belt is available
in skin color, can be worn inconspicuously under clothing.

Moulded foam pads
Adjustable leg and abdominal strap
Soft and skin friendly materials
Controlled pressure

Salient feature

Anatomic pads

Presses the inguinal aperture at the appropriate angle, enhances the effectiveness.


Molded out of special grade ethafoam

Appropriate hardness, light weight, smooth and comfortable.


Grey color product

Can be worn inconspaciously under cloth, aesthetically pleasing.


Soft and dermophilic materials

No rash no allergy, very comfortable, improve compliance.


Adjustable pelvic and leg straps

One size fits a large population, controlled &amp; customized pressure
possible.



						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Hernia-Belt.jpg,Hernia Belt
 A 07,"
                        	Contoured L.S. Support
                            Code: A 07
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Contoured L.S. Support is scientifically designed to support and immobilize the lumbo sacral region and correct the postural deformity to allay low back pain syndrome.

Customizable support
Double pull mechanism
Well cushioned back pad
Anatomical pre shaped splints.

Salient feature

Anatomically contoured rigid splints .

Maintain the natural low back curve, allay pain due to mechanical stresses, gets rid of postural fatigue, ensure adequate back reinforcement for perfect, immobilization.


Aluminum splints

Malleable and customizable offers accurate support, light in weight, offer better patient compliance, contoured and rigid splinting provides immobilization in the neutral position to stabilize the vertebral fractures.


Double pull mechanism

Ensures strong fastening for secure fitting, better immobilization, prevents belt slippage.


Ethafoam back pad

Offers high cushioning even in thin sections, provides better patient comfort, without compromising the immobilization.


Large hook loop panel

Allows controlled compression, flexibility in sizing, easy application and removal of the belt.



						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/Contoured-LS-Support.jpg,Contoured L.S. Support
 A 15,"
                        	Lumbo Support Uni
                            Code: A 15
                            Sizes Available: UN  /  Spl Size
                            Lumbo Support Uni is designed for flexibility and convenience to the patient. It supports and immobilizes the lumbo sacral region and correct the postural deformity to allay low back pain syndrome. It has flexi contoured splints to enhance comfort on one hand and correctness of the posture on the other.

Flexible sizing
Smart and sleek
Tapered back panel
Pre-shaped semi rigid splints

Salient feature

Elastic webbing made from heat resistant rubber with high modulus of elasticity.

Long functional life, better compression


Anatomically tapered shape

Perfect fitting, better immobilization, more comfort.


Pre shaped semi rigid stays

Relieves muscular stress due to wrong posture, effective immobilization.


Lean construction sleek design

Extra convenient, more comfort, everyday use as a general purpose back support, excellent for use during traveling, a prophylactic belt.


Broad hook-loop panel

Ensures easy application and quick removal, universal sizing.



						", UN  ;  Spl Size,http://www.tynorindia.com/wp-content/uploads/2012/01/Lumbo-Support-Uni.jpg,Lumbo Support Uni
 B 08,"
                        	Cervical Pillow Regular
                            Code: B 08
                            Sizes Available: Universal
                            Cervical pillow is designed to keep the neck in the slightly hyperextension position at night to counter the stress and strain of the day where we tend to keep the neck in the opposite “flexion” position. It cures the cervical problems while you sleep.

Scientific design.
Soft &amp; cushiony.
Plush looks.
Resilient PU foam.

 
Salient feature

Optimal Foam density

Soft and cushiony, More comfort


Good resilience .
Effective support to the neck.
Longer functional life.


Scientific design

Maintains the neck in slight hyperextension
Provides muscle relaxation
Proper support to neck


Plush covering

Provides soft feel
Good aesthetics.
Durablity



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/01/B-08.jpg,Cervical Pillow Regular
 F 02,"
                        	Finger Cot
                            Code: F 02
                            Sizes Available: S  /  M  /  L
                            Finger cot Supports, protects and immobilizes the phalanges in case of fractures, injuries or post operative care. Hook and loop bands ensure a snug fit and eliminates the need for taping. 

Light weight
Pleasing aesthetics
Comfortable cushioning
Hypo allergenic
Inbuilt tightening

  Salient feature 

Coated aluminum body 

Malleable can be bent and customized


Strong, provides rigid immobilization
Aesthetically pleasing
Light weight


Ergonomic design

U design ensures full protection in injuries and burns.
Ensures easy wearing during injury
Well ventilated and comfortable
Better compliance.


Ethafoam lining

High cushioning
Enhanced comfort
Easy to clean and maintain.


Inbuilt Hook loop fasteners

Close fitting and excellent grip
 Easy application and removal.



						", S  ;  M  ;  L,http://www.tynorindia.com/wp-content/uploads/2012/02/F-02.jpg,Finger Cot
 F 03,"
                        	Finger Ext. Splint
                            Code: F 03
                            Sizes Available: Universal
                            Finger Ext Splint supports, protects and immobilizes the metacarpals in case of fracture or injury. Convenient application by just inserting the finger. Hook and loop bands ensure a snug fit and eliminates the need for taping. Can be customized to maintain the proximal phalange joint and MCP in flexion. 

Light weight
Pleasing aesthetics
Comfortable cushioning
Hypo allergenic
Inbuilt hook loop closures 

  Salient feature 

Coated aluminum body 

Malleable can be bent and customized 


Strong, provides rigid immobilization 
Aesthetically pleasing
Light weight


 Ergonomic design

U design ensures full protection in injuries and burns.
Can be customized to provide stable immobilization
Ensures easy wearing during injury
Well ventilated and comfortable 


Ethafoam lining

High cushioning
Enhanced comfort
Easy to clean and maintain


Inbuilt Hook loop fasteners 

Close fitting and excellent grip
Easy application and removal.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/F-03.jpg,Finger Ext. Splint
 A 01,"
                        	Abdominal Support 9”
                            Code: A 01
                            Sizes Available: S  /  M  /  L  /  XL  /  XXL
                            Abdominal support is a compression belt to support the abdomen and compress the abdominal muscles. Its used as a post operative aid, by mothers after delivery
and for waist line reduction.

Pleasant aesthetics
Flexible sizing
Thin construction
Single panel of elastic

Salient feature

Light weight and thin construction, does not peep through the clothes improves
patient compliance.
Extra porous webbing improves ventilation and comfort of the patient.
Broad hook and loop tape panel offers better holding and size adjust-ability.
Optimal compression, tones up abdominal muscles following surgery, CS or delivery.
Special nylon reeves prevent rolling over of belt.

						", S  ;  M  ;  L  ;  XL  ;  XXL,http://www.tynorindia.com/wp-content/uploads/2012/01/A-011.jpg,Abdominal Support 9”
 F 05,"
                        	Mallet Finger Splint
                            Code: F 05
                            Sizes Available: Universal
                            Mallet finger Specially design to correct the mallet finger deformity. Designed to support the dip joint in hyper- extension, while permitting unrestricted movement of the PIP joint.

Sleek and convenient
Customizable dorsiflexion
Comfortable cushioning
One universal size

Salient feature

Coated aluminum body 

Malleable can be bent and customized


Strong, provides rigid immobilization
Light weight


Ergonomic design

Highly practical design to maintain the requisite hyper extension of
DIP joint
Well ventilated and comfortable
Sleek and simple –Better compliance
Easy application and removal.


Ethafoam lining

High cushioning
Enhanced comfort
Easy to clean and maintain.


Inbuilt Hook loop fasteners

Close fitting and excellent grip
Easy application and removal.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/02/F-05.jpg,Mallet Finger Splint
 I 16,"
                        	Compression Stocking Below Knee
                            Code: I 16
                            Sizes Available: S  /  M  /  L  /  XL
                            Compression Stockings provide controlled compression to the legs to squeeze away abnormal back flow of blood into the superficial veins that lie just beneath the surface of the skin from the perforating veins. It is used in all forms of venous disease including blood pools or congests in legs. Severe varicose veins and discoloration to sores, ulcers and potentially life-threatening blood clots.

Light weight.
Four way stretch
Freely breathable
Soft and comfortable

Salient feature

Made from soft nylon yarn and spandex 

Strong and durable
Dermophillic
Optimal compression
Excellent aesthetics
Excellent Color fastness


Four-way stretchability 

Offers optimal compression
Snug fitting


Double layered 

Retains body heat effectively.
Provides therapeutic warmth
Quicker healing
Strong and durable


 Tapered shape and Controlled compression

Uniform compression even on uneven limb surface.
Offers graded compression high to low from toe upwards
Effective blood evacuation


Open toe design 

Reduces wear and tear
Easy to wear
Compatible to toe rings or other jewelry items



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/I-16.jpg,Compression Stocking Below Knee
 F 04,"
                        	Frog Splint
                            Code: F 04
                            Sizes Available: S  /  M  /  L
                            Frog-Splint Provides perfect alignment of the inter-phalangeal joints by maintaining them in optimal functional position. Malleable arms fold to hold the finger in the finger in the desired position. No tapes required.

Light weight
Softened  arms for good grip
Comfortable cushioning
Hypo allergenic

  Salient feature

Coated aluminum body 

Extra malleable arms, can be shaped for good grip


Strong, provides rigid immobilization
Aesthetically pleasing
Light weight


Anatomic design 

Immobilizes both interphalangeal joints in neutral functional position
Ensures easy wearing during injury
Well ventilated and comfortable 
Does not restrict the movement of other fingers.
Sleek, simple and light in weight


Ethafoam lining

High cushioning
Enhanced comfort
Easy to clean and maintain.
Hypoallergenic, odorless 



						", S  ;  M  ;  L,http://www.tynorindia.com/wp-content/uploads/2012/02/F-04.jpg,Frog Splint
 I 15,"
                        	Compression Stocking Mid Thigh
                            Code: I 15
                            Sizes Available: S  /  M  /  L  /  XL
                            Compression Stockings provide controlled compression to the legs to squeeze abnormal back flow of blood towards the heart. They provide requisite pressure to the superficial affected veins.

Anatomically tapered
Four way stretch
Freely breathable
Strong and durable

Salient feature

Made from soft nylon yarn and spandex 

Strong and durable
Dermophillic
Optimal compression
Excellent aesthetics
Excellent Color fastness


Four-way stretchability 

Offers optimal compression
Snug fitting


Double layered 

Retains body heat effectively.
Provides therapeutic warmth
Quicker healing
Strong and durable


 Tapered shape and Controlled compression

Uniform compression even on uneven limb surface.
Offers graded compression high to low from toe upwards
Effective blood evacuation


Open toe design 

Reduces wear and tear
Easy to wear
Compatible to toe rings or other jewelry items



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/02/I-15.jpg,Compression Stocking Mid Thigh
 I 09,"
                        	Ortho Stockinete 10 Mt.
                            Code: I 09
                            Sizes Available: 50, 75, 100, 125
                            Ortho Stockinet is made from the finest long staple cotton yarn, woven on state of art circular looms. It is available as non absorbent greige, Knitting in loose loops provides an inbuilt property of four way stretch to the fabric.

Made from fine long stapled cotton
Seam less
High grammage product

Salient feature

High quality materials 

Durable
Comfortable
Hypoallergenic



						"," 50, 75, 100, 125",http://www.tynorindia.com/wp-content/uploads/2012/02/I-091.jpg,Ortho Stockinete 10 Mt.
 H 01 - H 03,"
                        	Weight Cuff
                            Code: H 01 - H 03
                            Sizes Available: 1/2 Kg  / 1Kg / 2 Kg  
                            						", 1;2 Kg  ; 1Kg ; 2 Kg  ,http://www.tynorindia.com/wp-content/uploads/2012/02/H-01.jpg,Weight Cuff
 I 59,"
                        	Scrotal Support
                            Code: I 59
                            Sizes Available: UN / Spl
                            Scrotal support is designed to hold, provide compression and lift the scrotal sac. Helps to relieve the pain, discomfort and  strain  of inflamed or sagging testicles. Ideal for post-operative care, palliative care and treatment. Designed to reduce injury and to support the cremaster muscle  which adds comfort and convenience for patient, enabling them to live a more productive life.

 Well ventilated 
 Separate Penile compartment 
 Adjustable waist band 
 Extra soft and hypoallergenic materials 
 Controlled compression to scrotum 

Salient feature

 Scientific Scrotal pouch construction.

 Anatomical shape ensures effective support and lift to the scrotum 
 Stretchable pouch provides strong compression and required comfort 
 Provides sufficient space for scrotum 
 Pocket to separate penis &amp; scrotal 
 Blind seam construction, planned for sensitive skins 


 Soft Materials.

 Enhanced comfort and soothing effect.
 No rash, no allergy. Dermophilic.
 No abrasion even to the sensitive skins.
 Better grip.


 Stretchable Waist belt with broad hook-loop panel.

 Ensure easy application and removal.
 Customized compression and grip.
 Better sizing flexibility.
 Perfect fitting.
 Strong holding and lift of the scrotum.


 Ergonomic design.

 Adjustable perineum straps ensure customized compression and lift.
 Can be used during exercise and running.
 Can be worn inconspicuously under clothing.
 Light in weight.
 Well ventilated.
 Pleasing aesthetics.



						", UN ; Spl,http://www.tynorindia.com/wp-content/uploads/2013/07/scrotal.jpg,Scrotal Support
 I 44,"
                        	Hot and Cold Pack
                            Code: I 44
                            Sizes Available: UN
                            Tynor Hot and Cold Pack is a convenient device to provide hot fomentation or cold compress.
Hot fomentation of the injured or inflamed area enhances the threshold of pain and thus reduces the perception of pain. It has a synergistic effect along with pain relieving drugs. Raising temperature of the injured tissue also enhances the blood profusion and the healing process. Hot fomentation has a relaxing effect.
Cold compress helps in reduction  of inflammation in injuries, protects by slowing the metabolic rate around the tissue, reduce oedema  and  bleeding. Cold compress helps in immediately lowering fever, in very high fever conditions. It can be used  after an acute injury or surgical procedure.

 No heat or cryo burns 
 Requires no holding 
 Reusable 
 Easy application 
 Appealing aesthetics 

Salient feature

 Multi functionality.

 Reduce swelling and odema at the site of injury 
 Muscles spasm and pain 
 Headache and minor injuries 


 Versatile design.

 Can be used as either cold or hot pack.
 Reusable in either hot &amp; cold condition.
 Temperature range – Can be used from 0 Cº to 75Cº.
 Longer temperature retention time.
 Fabric cover ensures no cryo burns or hot skin burns.


 Physical features.

 Non-toxic, and  biodegradable.
 Gel remains soft and flexible upto 0 degree.
 Durable, and puncture resistant.
 Soft, “frost free” PVC cover.
 Flexible  conforms to the body contours.
 Easy to clean and maintain.
 Excellent workmanship.
 Good aesthetics.


 Elastic belt.

 Holds the pack against the body, No need to hold by hand.
 Enhances convenience.



						", UN,http://www.tynorindia.com/wp-content/uploads/2013/07/hot-n-cold.jpg,Hot and Cold Pack
 K 09,"
                        	Heel Cup Silicon
                            Code: K 09
                            Sizes Available: S / M / L
                            						", S ; M ; L,http://www.tynorindia.com/wp-content/uploads/2012/04/Heel-cup.jpg,Heel Cup Silicon
 K 01,"
                        	Insole Full Silicon
                            Code: K 01
                            Sizes Available: S / M / L / XL
                            Insole full Silicon is super comfortable insole with soft relief zones. It reduces the painful shock waves and lightens the load to feet, knees and the spine. Anatomically designed for better comfort and fitting, it provides even pressure distribution throughout.

High cushioning coefficient
Long functional life
Super soft zones
Anatomicaly shaped

Salient feature

Made of silicon 

High cushioning coefficient.
Next to natural adipose, shock absorption &amp; energy return
Long functional life
Odourless
Easy to clean and maintain


Anatomical and streamlined shape 

Ensures better weight distribution
Reduces peak loading
Helps correct body alignment
Reduces strain on ligaments, muscles and tendons


Extra soft spot 

Focused pain relief
Relieves pressure at the base of the calcaneus.


Thin Construction 

Can easily be put into shoes
Convenient and comfortable.



						", S ; M ; L ; XL,http://www.tynorindia.com/wp-content/uploads/2012/04/Insole-Full-Silicon.jpg,Insole Full Silicon
 K 02,"
                        	Heel Cushion Silicon
                            Code: K 02
                            Sizes Available: S / M / L
                            Heel Cushion is designed to provide soft cushioning to the foot heel. Gel spot at the site of base of calcaneus distributes pressure and relieves pain. The mesh design greatly improves the cushioning and pleasure.

High cushioning coefficient
Long functional life
Super soft zones
Anatomicaly shaped

Salient feature

Made of silicon

High cushioning coefficient.
Long functional life
Odourless
Easy to clean and maintain


Anatomical and streamlined shape 

Ensures better weight distribution
Reduces peak loading
Helps correct body alignment
Reduces strain on ligaments, muscles and tendons


Extra soft spot 

Focused pain relief
Relieves pressure at the base of the calcaneus.



						", S ; M ; L,http://www.tynorindia.com/wp-content/uploads/2012/04/Heel-Cushion.jpg,Heel Cushion Silicon
 K 08,"
                        	Metatarsal Pad Silicon
                            Code: K 08
                            Sizes Available: Universal
                            						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/04/Meta-Pad-Silicone.jpg,Metatarsal Pad Silicon
 K 04,"
                        	Toe Separator Silicon
                            Code: K 04
                            Sizes Available: S  /  M  /  L
                            Toe separator (silicon) is anatomically designed to spread toes, absorb pressure and help in their alignment. Friction between overlapping and pinched toes can cause discomfort, irritation and corns. Toe separator aligns the big toe relieves bunion discomfort, pain and soreness associated with soft corns or toes rubbing together.

High cushioning efficiency.
Long functional life
Anatomicaly shaped

Salient feature

Made of silicon

High cushioning coefficient.
Long functional life
Odourless
Easy to clean and maintain


Anatomical shape 

Improves wearing
Improves comfort
Faster relief


Sleek Design

Can easily be put into shoes
Convenient and comfortable.



						", S  ;  M  ;  L,http://www.tynorindia.com/wp-content/uploads/2012/04/Top-Separator-Silicone.jpg,Toe Separator Silicon
 L 08,"
                        	Walking Stick L Type
                            Code: L 08
                            Sizes Available: Universal
                            Tynor Walking Stick is a general purpose walking aid, which can be used by geriatric or weak patients, or can be used as post operative rehabilitation aid. Made out of special grade of aluminum to ensure high strength, durability and light weight. Height adjustment feature ensures proper load bearing.

 Strong and Durable 
 Aesthetically pleasing 
 Easy height adjustment 
 Anti slip pods 

Salient feature

 Made special grade of  Aluminum.

 Light weight 
 Strong and durable
 Good weight bearing 


 Hard Anodized.

 Perfect aesthetics.
 Long life of the coating.
 Available in multiple colors.


 PU/PVC Pod.

 Very long life.
 Transparent.
 Better aesthetics.
 Anti slip properties.


 Excellent workmanship.

 Good functioning.
 Easy size customization.
 Good aesthetics.


 ABS Handle.

 Anatomical shape.
 Comfortable grip.
 Nice to touch.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2013/05/Walking-Stick-L-Type.jpg,Walking Stick L Type
 L 13,"
                        	Elbow Crutch Adjustable
                            Code: L 13
                            Sizes Available: universal
                            Tynor Elbow Crutch  is a very sophisticated  walking aid designed to provide full weight bearing when one or both legs are physically challenged because of a nervous disorder, fracture, disease, injury etc.  More and more professionals prefer usage of  Elbow Crutch over the conventional auxiliary crutch because of greater confidence of the patient,lesser fatigue and trendy appearance.

 High load bearing 
 Pleasing aesthetics 
 Many features to enhance functionality 
 Utmost comfortable 

Salient feature

 Polymer Handle.

 Robust and strong   suitable for 140 kg body wt 
 Anatomical and streamlined 
 Aestheticaly pleasing 


 Adjustable Height  of the Elbow piece.

 Improved load bearing.
 Uniform support to elbow.
 Improved confidence.


 Soft Gel Handle Top.

 Comfortable grip.
 Nice to touch.
 Improved load bearing.
 Decreased fatigue.


 Flipping Elbow grip.

 Holds to the elbow tightly.
 Decreased chances of accident.
 Hands remain free to work.


 PU/PVC Pod.

 Long life.
 Transparent.
 Better aesthetics.
 Anti slip properties.


 Excellent workmanship.

 Excellent functioning.
 Easy size customization.
 Improved aesthetics.



						", universal,,Elbow Crutch Adjustable
 L 10,"
                        	Pod Crutch (22 mm)
                            Code: L 10
                            Sizes Available: Universal
                            Tynor Pods are accessories to every walking device. Appropriate materials and designing have made Tynor pods a product of   choice.  An appropriate  blend of P. U and PVC ensures a long life of the product, and antislip properties. Transparency adds to the aesthetics.  of the product. Available in various sizes to fit in all walking aids such as walkers, auxiliary  crutch. elbow crutch,  quadripod  walking stick, tripod walking stick or general  walking sticks.

 Anti slip 
 Transparent 
 Long life 
 Special composition 

Salient feature

 PU/PVC Pod.

 Very long life. 
 Transparent  looks. 
 Better aesthetics. 
 Antislip properties. 


 Steel disc.

 Stick doesn’t cut into the Pod.
 Enhances  functional life of the pod.


 Pyramid  design.

 Sturdy.
 Long life.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2012/04/L-09.jpg,Pod Crutch (22 mm)
 L 07,"
                        	Walking stick (Soft top handle)
                            Code: L 07
                            Sizes Available: Universal
                            						", Universal,http://www.tynorindia.com/wp-content/uploads/2013/05/WS-Soft-handle.jpg,Walking stick (Soft top handle)
 L 32,"
                        	Walking stick Tripod
                            Code: L 32
                            Sizes Available: Universal
                            						", Universal,http://www.tynorindia.com/wp-content/uploads/2013/05/Walking-Stick-tripod1.jpg,Walking stick Tripod
 L 28,"
                        	Walker Invalids Front Wheels
                            Code: L 28
                            Sizes Available: Universal
                            						", Universal,http://www.tynorindia.com/wp-content/uploads/2013/05/Walker-Invalid-Front-Wheels.jpg,Walker Invalids Front Wheels
 C 02,"
                        	Universal shoulder Immobilizer
                            Code: C 02
                            Sizes Available: S  /  M  /  L  /  XL
                            Universal Shoulder immobilizer is one of the most commonly used designs to immobilize and support the dislocated shoulder. This is also used in the fractures of clavicle bone and the shoulder joint where immobilization of the region is required .

Perfect immobilization
Enhanced comfort
Convenient application
Wrinkle proof

 
Salient feature

Two piece design

Offers better immobilization
Easy application and removal
Comfortable


Made of 3 layered P.U. bonded fabric

Durable and non –tearable
Plush looks
Provides warmth
Wrinkle free
Soft to feel



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/Universal-shoulder-Immobiliser1.jpg,Universal shoulder Immobilizer
 L 12,"
                        	Walking Stick Quadripod
                            Code: L 12
                            Sizes Available: Universal
                            Tynor Walking Stick quadripod  is a walking aid to give extra stability during walk  to very weak or very old or physically challenged individuals. Made out of special grade of aluminum to ensure strength, durability and light weight. Broad base gives good stability.  Height adjustment feature ensures proper load bearing.

 Enhanced stability 
 Strong and Durable 
 Good handle grip 
 Left and right use 

Salient feature

Broad Quadra base.

 High stability 
 High load bearing and durability.
 No play 
 Greater confidence.


Double Position of the Handle.

 Universal Left and Right use.


 Special grade of Aluminium and Mild Steel.

 Light weight.
 Good weight bearing.
 Strong an durable.


 PU/PVC Pod.

 Very long life.
 Transparent.
 Better aesthetics.
 Anti  slip properties.


 Excellent workmanship.

 Good functioning.
 Easy size customization.
 Good aesthetics.


 ABS Handle.

 Anatomical shape.
 Comfortable grip.
 Nice to touch.



						", Universal,http://www.tynorindia.com/wp-content/uploads/2013/05/WS-Quadripod.jpg,Walking Stick Quadripod
 C 03,"
                        	Elastic shoulder Immobilizer
                            Code: C 03
                            Sizes Available: S  /  M  /  L  /  XL
                            Elastic Shoulder Immobilizer is a lightweight, sleek and smart design to provide immobilization in shoulder dislocation and post operative rehabilitation. It reduces abduction and arm rotation by positioning the arm close to the body. It comes with a shoulder cup, which improves grip , immobilization, warmth and confidence of the patient.

Six way immobilization
Shoulder cup ensures extra compression.
Smart and sleek
No buckle biting

 
Salient feature

Scientific design

Provides six -way immobilization.
Well ventilated and comfortable.
Sleek and smart.
Can be used in patients with open wounds around the shoulder
Effective, even in patients confined to bed.


Shoulder cup

Improves grip on the injured shoulder
Improves immobilization
Provides warmth
Speeds up the process of healing
Enhances confidence of the patient



						", S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/C-03.jpg,Elastic shoulder Immobilizer
 C 01,"
                        	Pouch Arm Sling (Tropical)
                            Code: C 01
                            Sizes Available: CH / S  /  M  /  L  /  XL
                            Pouch Arm Sling (Tropical) holds, supports and immobilizes the sprained, broken or surgically operated arm in the flexion position while it recuperates. A sleek and a smart design ideally suitable for tropical countries with hot and humid climatic conditions.

Adjustable
Wrinkle proof
Smart &amp; sleek
Convenaient application.
With thumb cradle

 
Salient feature

Ergonomically designed

Smart and sleek
Does not cover the chest
Improves ventilation and comfort
Best suited for hot climates.


Made of 3 layered P.U. bonded fabric

Durable and non – tearable
Plush looks
Wrinkle free
Soft to feel


Slide buckle

Single touch opening and closing
Easy application and removal.


Ethafoam shoulder pad and thumb cradle

Improves patient comfort
Adjustable to ease the point of maximum pressure.
Reduces thumb fatigue


Adjustable sling

Angle of flexion can be customized
Offers flexibility in sizing.



						", CH ; S  ;  M  ;  L  ;  XL,http://www.tynorindia.com/wp-content/uploads/2012/01/Pouch-Arm-Sling-Tropical.jpg,Pouch Arm Sling (Tropical)
