SKU,Description,SP,MRP,productname,Brand,Size,Stock,imgurl,imgurl,imgurl,imgurl
375553-Q23646,"
							The adidas BT Boom Badminton Shoe is a low to the ground shoe that supports the movement of the foot for better stability and agility out on the court. Featuring a plate construction in the shank for midfoot support. A badminton specific construction delivers a comfortable feeling during all playing conditions. The non-marking rubber compound allows for the optimum grip on all badminton surfaces.

EVA foam and Gum Rubber sole construction.

Ladies specific fit.MaterialRubber Synthetic Material 						",6433.83,7656.2577,ADIDAS BT Boom Ladies Badminton Shoe,ADIDAS,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,,http://products.activinstinct.com/y2013/m08/375553/80346495-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
317167-C002068-11,"
							A quality multi-court shoe that provides instant comfort, support and cushioning. The Viper Court is ideally suited to casual and occasional players.

The shoe features a lightweight performance mesh with PU support overlays and a removable, full length moulded EVA sockliner.

Abrazone toecap provides drag protection in addition while there is a soft, padded collar for additional comfort.MaterialMesh Rubber Synthetic 						",6433.83,7656.2577,HI-TEC Men's Viper Court Squash Shoe,HI-TEC,UK6.5;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK13,,http://products.activinstinct.com/y2012/m10/317167/47093815-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
386014-C003122-011,"
							The Hi-Tec Ad Pro Indoor Shoe is designed to provide high performance whether you're playing squash or badminton. Featuring a blend of comfort, performance, durability and value this is a shoe that will tick all the boxes when it's time to hit the court.

Features:

PU/Mesh/Nubuck upper
Comfort Tec Footbed
Cushioned CMEVA midsole
Non Marking gum rubber outsole						",6433.83,7656.2577,HI-TEC Ad Pro Men's Indoor Shoe,HI-TEC,UK6;UK7;UK8;UK9;UK10;UK11;UK12;UK13,,http://products.activinstinct.com/y2013/m09/386014/41841614-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
382570-ATB860D,"
							This Ashaway Double thermo bag consists of two zipped, large main compartments and a side pocket. Of these compartments, the main one is equipped with thermal foil lining, which protects rackets and strings from the effects of extreme changes in temperature, thus ensuring greater performance and durability for the rackets. The bag is suitable for up to six rackets and kit. It features twin carry straps and handles for easy and comfortable transportation.						",6433.83,7656.2577,ASHAWAY Double ATB860D Bag,ASHAWAY,,,http://products.activinstinct.com/y2013/m09/382570/59535028-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358281-WRT905500,"
							Part of the 2013 Carbon Series, the CS Hybrid is a great all round racket for the social to comp player.

Specification:

Headsize: 497cm2
Weight (unstrung): 160g
Balance (unstrung): 35.5cm
String pattern: 14 x 18						",6429.15,7650.6885,WILSON CS Hybrid Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358281/14370096-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
379743-WRT938700,"
							The Wilson Tour Comp squash provides players with a great combination of feel and control with a weight of 170g and a 14x18 string pattern. This is a carbon graphite fused squash racket that boasts a hammer design and offers a head light balance to allow for enhanced manoeuvrability.


Carbon graphite fused squash racket
Great feel and control
Head Size: 490cm2
Frame Weight: 170g
Balance: 350mm (head light)
Length: 27"" (686mm)
String Pattern: 14x18						",6429.15,7650.6885,WILSON Tour Comp Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m08/379743/55019690-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375493-Q23640,"
							The adidas BT Feather Team Badminton Shoe has the right amount of stability in the rounded heel and launch in the forefoot that helps you cover the court from any direction with speed and precision. A badminton specific construction delivers comfort and stability during all playing conditions while the non-marking rubber compound allows for the best grip on all badminton surfaces.

Adiprene insert for ideal cushioning during badminton specific movements.

Adiprene+ insert for a powerful acceleration during all badminton specific movements.

Adituff abrasion resistant material placed at the medial forefoot to combat abrasion zones.

Rearfoot Stabiliser construction for stability during badminton specific multidirectional movements.

Torsion System stabilises your midfoot in badminton specific movements and enhances control, support and fit.MaterialRubber Synthetic Material 						",6318,7518.42,ADIDAS BT Feather Team Men's Badminton Shoe,ADIDAS,UK6;UK6.5;UK7.5;UK8.5;UK9;UK9.5;UK10.5;UK11;UK11.5;UK12,,http://products.activinstinct.com/y2013/m08/375493/12793828-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
393064-KZ993,"
							Made from new Superlight polyester material, which is 40% lighter than previous models, this does not sacrifice strength or durability. All the new Superlight bags have soft foam inner linings and carry straps to increase support and comfort when carrying.

Features:

2 Racket Pockets hold a minimum of 8 Rackets
Zipped Side Pocket For Accessories / Valuables
Backpack Carrying System for easy carrying
75cm x 20cm x 30cm
35 Litre Capacity						",6199.83,7377.7977,KARAKAL RB-35 Superlight Racket Bag,KARAKAL,,,http://products.activinstinct.com/y2013/m11/393064/51720306-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
7555-202166,,6199.83,7377.7977,UNSQUASHABLE Mini Squash Fundation Ball - Dozen ,UNSQUASHABLE,,,http://products.activinstinct.com/y2008/m12/7555/7555-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
7556-202167,,6199.83,7377.7977,UNSQUASHABLE Mini Squash Improver Ball (1 Dozen),UNSQUASHABLE,,,http://products.activinstinct.com/y2008/m12/7556/7556-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
338816-WRA350701 / WRA350700 / WRA350709 / WRA350704,"
							Part of Wilson's Core Performance range, this skirt is made from a polyester and spandex mix that makes for an enhanced, comfortable fit.
This racerback tank dress has soft elastic straps, internal support bra overlay front panel and pleated back skirt detail. This is a supportive and supple garment that is perfect for court time.MaterialPolyester Spandex 						",6082.83,7238.5677,WILSON Tea Lawn Ladies Dress,WILSON,XS;S;M;L;XL;Black;Blue;Red;White,,http://products.activinstinct.com/y2013/m01/338816/79751336-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363149-B257N-0191,"
							Indoor court shoes require tremendous amounts of grip. They have to be able to deal with sharp changes of direction, explosive bursts of movement, and supply support and comfort throughout. These are a fantastic example of this required performance.

Forefoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

The Compression Molded EVA Sockliner can be removed to accommodate a medical orthotic, while the Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the shoe.

This shoe also uses California Slip Lasting to enhance its stability and comfort. This is achieved through the upper being stitched around a canvas or EVA board and directly attached to the midsole.

The NC Rubber outsole contains more rubber content than traditional solid rubber, this results in incredible traction on indoor court systems.MaterialRubber Synthetic 						",5967,7100.73,ASICS Gel-Rocket 6 Ladies Indoor Court Shoes,ASICS,UK4;UK4.5;UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8,,http://products.activinstinct.com/y2013/m06/363149/76799781-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
328638-817167 / 817172 / 817176,"
							The new biomimetic Tour luggage range has been designed with serious tennis players in mind, constructed with premium, durable materials for even the most demanding of players on the tour.


Durable 1680 Ballistic polyester and 420D polyester construction
Large main compartment for storage
Protective laptop pocket
Integrated shoe/wet pocket
Separate racket pocket with lockable zips and racket handle cover for wet conditions
Side panel pocket with internal phone/iPod pocket, key clip and valuable pocketMaterialPolyester 						",5965.83,7099.3377,DUNLOP Biomimetic Tour Backpack,DUNLOP,,,http://products.activinstinct.com/y2012/m12/328638/12890169-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
350288-6P762021,"
							The Prince Tour Team Triple backpack is a premium tour quality bag filled with features to make your play and travel fit seamlessly together whilst protecting your equipment so you can enjoy your tennis.

This features a main zipped compartment, additional compartments, adjustable shoulder straps and carry handle.


Dimensions: 14.5 x 19 x 9inMaterialPolyester 						",5965.83,7099.3377,PRINCE Tour Team Green Backpack,PRINCE,,,http://products.activinstinct.com/y2013/m03/350288/95547615-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
298293-6P791115,"
							Along with the grass courts and sipping on Pimm's, the all white rules players have to adhere to is one of Wimbledon's most recognisable features. Prince has taken this on board and produced a range of bags in an elegant White Collection, combining style with genuine substance.

This backpack features enough room for plenty of kit, with additional space for accessories also. There is a main compartment, smaller compartment and then pocket at the very front; all are zippered and secure. The bag also features a carry handle and adjustable, cushioned shoulder straps.MaterialCotton Nylon PVC 						",5965.83,7099.3377,PRINCE White Collection Backpack,PRINCE,,,http://products.activinstinct.com/y2012/m07/298293/62499159-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363781-V74004,"
							The Volkl Performance Backpack features a high quality design and construction that is durable, lightweight and perfect for keeping your kit organised and protected at all times.


One large main compartment
One front pocket for valuables
Shoe compartment
Racket compartment
33x46x28cmMaterialPolyester 						",5965.83,7099.3377,VOLKL Performance Backpack,VOLKL,,,http://products.activinstinct.com/y2014/m04/363781/60369112-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405751-WRZ832496,"
							Designed for the everyday player. The plush padded backpack straps for comfort, large main compartment to hold equipment a back side racket compartment with locking zipper can hold at least two rackets and with four small accessories pockets this bag can carry everything a player needs. PVC free for lower environmental impact.


Large main compartment holds all your equipment, apparel, and shoes
Two Front pockets for storage of valuables, electronics, and other accesories
Two small side panel pockets for accessories
Back zip racket compartment that can fit two oversized rackets
Adjustable backpack straps with extra padding for a more comfortable feel on your back
PVC Free

Dimensions: 33 X 46 X 25cm						",5965.83,7099.3377,WILSON Federer Backpack,WILSON,,,http://products.activinstinct.com/y2014/m01/405751/28741718-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
388785-WRZ843395,"
							A brilliant bag for players of all abilities and ages; great for practice sessions and games alike. It also has a sleeve to carry two rackets.

Features:

Large compartment to hold shoes and apparel
Large accessory pockets to hold equipment
Small accessory pocket to hold valuables
Interior pocket to hold laptop or tabletMaterialNylon 						",5965.83,7099.3377,WILSON Tour Small Backpack,WILSON,,,http://products.activinstinct.com/y2013/m10/388785/97340389-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375537-Q23645,"
							The adidas BT Boom Badminton Shoe is a low to the ground shoe that supports the movement of the foot for better stability and agility out on the court. Featuring a plate construction in the shank for midfoot support. A badminton specific construction delivers a comfortable feeling during all playing conditions. The non-marking rubber compound allows for the optimum grip on all badminton surfaces.

EVA foam and Gum Rubber sole construction.MaterialRubber Synthetic Material 						",5848.83,6960.1077,ADIDAS BT Boom Men's Indoor Shoe,ADIDAS,UK6.5;UK10.5;UK11.5,,http://products.activinstinct.com/y2013/m08/375537/36410458-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
428497-WTL010702,"
							This series of clothing and equipment celebrates 100 years of Wilson, paying homage a name that has shared in more winning moments than any other company in sports. 61 Majors. 48 Super Bowls. 20 Final Fours. 93 World Series Championships. And over 500 Grand Slams.

Effortless style, with plenty of comfort, this top is perfect for casual days, trips to the gym or warm-up and practice sessions.MaterialCotton 						",5848.83,6960.1077,WILSON 100 Years Scoop Ladies Tee,WILSON,XS;S;M;L,,http://products.activinstinct.com/y2014/m05/428497/12457727-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
393340-6P878057,,5848.83,6960.1077,PRINCE Classic Messenger Bag,PRINCE,,,http://products.activinstinct.com/y2013/m11/393340/78658895-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363121-B200Y-0142,"
							Indoor court shoes require tremendous amounts of grip. They have to be able to deal with sharp changes of direction, explosive bursts of movement, and supply support and comfort throughout. These are a fantastic example of this required performance.

Forefoot GEL reduces the loading forces as the foot moves into propulsion, improving performance and minimising the risk of injury.

The NC Rubber outsole contains more rubber content than traditional solid rubber, this results in incredible traction on indoor court systems.MaterialRubber Synthetic 						",5499,6543.81,ASICS Gel-Doha Men's Indoor Court Shoes,ASICS,UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12,,http://products.activinstinct.com/y2013/m06/363121/74624665-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
363073-B304N-0123,"
							Indoor court shoes require tremendous amounts of grip. They have to be able to deal with sharp changes of direction, explosive bursts of movement, and supply support and comfort throughout. These are a fantastic example of this required performance.

Rearfoot GEL provides cushioning in all directions absorbs impact forces and helps to stabilise the foot during heel contact.

The Compression Moulded EVA Sockliner can be removed to accommodate a medical orthotic, while the Trusstic System reduces the weight of the sole unit while retaining the structural integrity of the shoe.

This shoe also uses California Slip Lasting to enhance its stability and comfort. This is achieved through the upper being stitched around a canvas or EVA board and directly attached to the midsole.

The NC Rubber outsole contains more rubber content than traditional solid rubber, this results in incredible traction on indoor court systems.MaterialRubber Synthetic 						",5499,6543.81,ASICS Gel-Task Men's Indoor Court Shoe,ASICS,UK7.5;UK9.5;UK10;UK10.5;UK11;UK11.5;UK14,,http://products.activinstinct.com/y2013/m06/363073/50462750-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405285-WR4021395,"
							The Wilson Sweet Success Girls Tennis Skirt is designed to promote comfort and performance that allows young players to play their best and take their path to sweet success. Features flounce skirt with built in compression short and a performance polyester/spandex knit body.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 91% Polyester, 9% Spandex Jersey KnitMaterialSpandex 9%Polyester Fabric 91%						",5439.33,6472.8027,WILSON Sweet Success Girls Tennis Skirt,WILSON,XS;S;M,,http://products.activinstinct.com/y2014/m01/405285/45081040-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418712-WR3073100 / WR3074410,"
							A high performance skirt design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

Built-in compression short
Polyester/spandex engineered knit body
nanoWIK moisture movement technology
Ball pocketMaterialSpandex 11%Polyester Fabric 89%						",5439.33,6472.8027,WILSON Specialist 12.5in Ladies Pleated Skirt,WILSON,XS;S;M;L;XL,,http://products.activinstinct.com/y2014/m03/418712/20357539-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418729-WR3074410 / WR3119140,"
							A high performance skirt design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

Built-in compression short
Polyester/spandex engineered knit body
nanoWIK moisture movement technology
Ball pocketMaterialSpandex 9%Polyester Fabric 91%						",5439.33,6472.8027,WILSON Specialist 13.5in Ladies Skirt,WILSON,XS;S;M;L;XL;Navy;White,,http://products.activinstinct.com/y2014/m03/418729/34742013-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418688-WR3071400 / WR3071800,"
							A high performance top design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

Racer back, athletic fit
Polyester/spandex engineered mesh knit body
nanoWIK moisture movement technology
Built-in support bra with mesh for ventilationMaterialSpandex 11%Polyester Fabric 89%						",5439.33,6472.8027,WILSON Specialist Mesh Ladies Tank,WILSON,XS;S;M;L;XL;Navy;Yellow,,http://products.activinstinct.com/y2014/m03/418688/81652799-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418375-190088,,5439.33,6472.8027,K-SWISS Mesh Pleat III Ladies Skirt,K-SWISS,XS;S;M;White/Purple;White/Red,,http://products.activinstinct.com/y2014/m03/418375/49010936-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405291-WR4023390 / WR4023550,"
							The Wilson Solana Girls Tennis Ruffle Dress bring comfort and classic tennis style to the court allowing young players to move with ease and focus on the game. Features a classic fit scoop neck A-line with a mid-thigh length. Contrast front stripe and bottom ruffle adds an extra layer of style whilst the performance polyester/spandex jersey knit body ensures comfort.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 91% Polyester, 9% Spandex Jersey KnitMaterialSpandex 9%Polyester Fabric 91%						",5439.33,6472.8027,WILSON Solana Girls Tennis Ruffle Dress,WILSON,XS;S;M;XL;Blue;Orange,,http://products.activinstinct.com/y2014/m01/405291/52639502-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
14273-Z6211,,5439.33,6472.8027,WILSON Triple Thermal Bag ,WILSON,,,http://products.activinstinct.com/y2008/m12/14273/14273-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418700-WR3072400 / WR3116100,"
							A high performance top design with ultimate performance on court in mind, this is packed full of technological features to help ensure brilliant match play.

Features:

Polyester/spandex engineered mesh knit body
nanoWIK moisture movement technology
Built-in support bra with mesh for ventilation
Mesh back panel insert for breathabilityMaterialSpandex 9%Polyester Fabric 91%						",5428.8,6460.272,WILSON Specialist Cap Sleeve Ladies Top,WILSON,XS;S;M;Navy;White,,http://products.activinstinct.com/y2014/m03/418700/42113059-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
401504-D66037,"
							Volleyball. Badminton. Handball. Squash. Whatever the indoor sport, these junior-size court shoes play to win with a light and durable upper, a high-impact EVA midsole, ADIPRENE heel cushioning, and TORSION midfoot support.


Mixed-material synthetic upper for light weight and durability
EVA midsole for long-term, lightweight cushioning
ADIPRENE+ in the forefoot maintains propulsion and efficiency
TORSION SYSTEM for midfoot integrity; Eco-OrthoLite foam insole for kids
ADIPRENE under the heel for superior cushioning at impact
NON MARKING rubber outsoleMaterialRubber Synthetic Material 						",5265,6265.35,ADIDAS Junior Court Stabil Elite Indoor Shoes,ADIDAS,UK3;UK4;UK5,,http://products.activinstinct.com/y2014/m01/401504/76363450-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
402512-D80665,"
							The adidas adizero dress is great for players of all abilities. Features include a scoop neck, racerback design, adidas logo on upper left strap and sublimation print on back. There is also Climalite soft, lightweight fabric for superior moisture management.MaterialPolyester Fabric 						",5263.83,6263.9577,ADIDAS Girl's Adizero Dress,ADIDAS,Age 7-8;Age 9-10;Age 11-12;Age 13-14,,http://products.activinstinct.com/y2014/m01/402512/51049829-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
386036-C003169-053,"
							The Hi-Tec Indoor Lite Court Shoe boasts a design and construction that will keep you moving with freedom on court without compromising on grip, support and performance.

Features:

Lightweight and breathable PU mesh upper
Abrazone toecap and medial drag protection
CMEVA cushioned midsole
Non marking carbon rubber outsole
TPU torsional Shank
Lateral support braceMaterialRubber Synthetic Material 						",5263.83,6263.9577,HI-TEC Indoor Lite Men's Court Shoe,HI-TEC,UK6;UK7;UK8;UK9;UK10;UK11;UK12;UK13,,http://products.activinstinct.com/y2013/m09/386036/53926779-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
386027-C003169-051,"
							The Hi-Tec Indoor Lite Court Shoe boasts a design and construction that will keep you moving with freedom on court without compromising on grip, support and performance.

Features:

Lightweight and breathable PU mesh upper
Abrazone toecap and medial drag protection
CMEVA cushioned midsole
Non marking carbon rubber outsole
TPU torsional Shank
Lateral support braceMaterialRubber Synthetic Material 						",5263.83,6263.9577,HI-TEC Indoor Lite Men's Court Shoe,HI-TEC,UK6;UK7;UK8;UK9;UK10;UK11;UK12;UK13,,http://products.activinstinct.com/y2013/m09/386027/13576940-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
356032-XS13TEU003,"
							A versatile backpack, this features main compartment, big enough for all your kit. There are then additional side, zippered pockets for other accessories, wet/dirty kit and alike. The bag features an adjustable shoulder strap and carry handles.

Specification:
Dimensions: 46 x 33 x 20cm
Fabric: 15% faux leather, 85% polyesterMaterialPolyester 						",5263.83,6263.9577,FILA Service Backpack,FILA,,,http://products.activinstinct.com/y2013/m04/356032/62233053-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
390971-KS1315,"
							The Karakal Pro Hybrid is strung with the Nano 125 string for explosive power and enhanced durability. It is constructed of Titanium Composite and weighs just 170g.

The racket has a 12x17 string pattern, while the head heavy balance ensures more power, stability and spin.

The racket comes with a 3/4 cover for protection.

Specification:

Head Size: 480cm2 midplus
Frame Weight: 170g
Balance: 37-38cm (head heavy)
Length: 680mm
Strung with Nano 125 string
String Pattern: 12x17
Grip: Karakal PU
Construction: Titanium CompositeMaterialTitanium 						",5263.83,6263.9577,KARAKAL Pro Hybrid Squash Racket,KARAKAL,,,http://products.activinstinct.com/y2013/m11/390971/57635585-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
427258-7S522405,"
							Titanium Force technology enhances the stability of the frame by adding titanium material reinforcement at 2 and 10 positions on the head. This allows for improved strength and stability in a lightweight fusion frame.

As a Club performance model, this focuses on power and stringbed response and is ideally suitable for intermediates and beginners.

By removing the throat bridge the main string is extended and the frame weight reduced, for unprecedented lightweight power.

Longer strings in a fan-shaped pattern provide more power and a larger sweet spot.

Specification:

Headsize: 75sq in
Weight: 180g unstrung
Length: 27 in
String pattern: 12x17MaterialTitanium 						",5263.83,6263.9577,PRINCE Team Impact 200 Squash Racket,PRINCE,,,http://products.activinstinct.com/y2014/m05/427258/84417968-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
27383-Z4840,,5263.83,6263.9577,WILSON Premium Leather Replacement Grip (Pack of 3),WILSON,,,http://products.activinstinct.com/y2009/m02/27383/27383-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
224517-WRT935800,"
							A perfect kit for an introduction to the game.

The specific racket in this kit is the Hyper Team 300, a brilliant racket full of control and precision, so ideal for newcomers and intermediates alike.

This racket uses Hyper 6000 Series Alloy with frame stabilizers for greater comfort. This leads to easier shot making, greater control and response, as well as fantastic feel to ensure every shot is made with the utmost precision.

As well as this racket, there are also two performance squash balls, a sports water bottle and a bag to store and carry the racket in.

Racket Specifications:

Head size: 498 cm sq.
Weight: Unstrung 205g.
Balance: 31cm
String pattern: 14 x 19						",5263.83,6263.9577,WILSON Squash Starter Kit,WILSON,,,http://products.activinstinct.com/y2011/m05/224517/12063863-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
224517-WRT935800,"
							A perfect kit for an introduction to the game.

The specific racket in this kit is the Hyper Team 300, a brilliant racket full of control and precision, so ideal for newcomers and intermediates alike.

This racket uses Hyper 6000 Series Alloy with frame stabilizers for greater comfort. This leads to easier shot making, greater control and response, as well as fantastic feel to ensure every shot is made with the utmost precision.

As well as this racket, there are also two performance squash balls, a sports water bottle and a bag to store and carry the racket in.

Racket Specifications:

Head size: 498 cm sq.
Weight: Unstrung 205g.
Balance: 31cm
String pattern: 14 x 19						",5263.83,6263.9577,WILSON Squash Starter Kit,WILSON,,,http://products.activinstinct.com/y2011/m05/224517/12063863-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
268472-WRZ844296 / WRZ841396 / WRZ842396,"
							Designed for Wilson pro players and coaches, this is ideal for serious players of every level. An oversized main compartment can hold plenty of clothing and equipment. There are two small pockets and two large pockets on the outside of the bag. One small pocket is lined with an anti-scratch material and one large pocket is designed and lined for a water bottle. The rackets are placed in the back for added comfort. This backpack's abundant compartments and pockets can carry everything competitive players need on court. PVC free for lower environmental impact.


X-Large main compartment holds all your equipment, apparel, and shoes
Contains an inner zip pocket for valuable accessories
Four Side panel pockets for accessories
Two Large pockets, one of which has Thermoguard Technology to help keep food or drinks cold
Two Small pockets, one of which is a small pocket lined with anti-scratch material
Two side pockets for small accessories
Large bottom tunnel pocket to hold shoes and apparel, ideal for keeping shoes and dirty clothes separate from other equipment
Back zip racket compartment (with locking zippers) that fits at least two oversized rackets
Adjustable backpack straps with extra padding for a more comfortable feel on your back
PVC Free

Dimensions: 50 X 33 X 26cmMaterialPU 600D Poly 420D Diamond Dobby 						",5263.83,6263.9577,WILSON Tour Large Backpack,WILSON,,,http://products.activinstinct.com/y2012/m01/268472/98153757-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
297959-WRT938900,"
							Made from fused aluminium and with frame stabiliser and vibration dampener, this is a great entry level racket. Perfect as a platform form which new, young players can develop their game.

Specification:

Headsize: 494cm2
Weight (unstrung): 190g
Balance (unstrung): 32.5cm
String pattern: 14 x 19MaterialAluminum Fused 						",5259.15,6258.3885,WILSON Pro Comp Squash Racket,WILSON,,,http://products.activinstinct.com/y2012/m06/297959/53054354-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
358283-WRT905600,"
							Part of the 2013 Fused Racket series, the Ripper Comp is a great all round racket for the social and recreational player.

Specification:

Headsize: 471cm2
Weight (unstrung): 190g
Balance (unstrung): 32.5cm
String pattern: 14 x 19						",5259.15,6258.3885,WILSON Ripper Comp Squash Racket,WILSON,,,http://products.activinstinct.com/y2013/m05/358283/76379655-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
375521-G97862,"
							The adidas BT Boom Badminton Shoe is a low to the ground shoe that supports the movement of the foot for better stability and agility out on the court. Featuring a plate construction in the shank for midfoot support. A badminton specific construction delivers a comfortable feeling during all playing conditions. The non-marking rubber compound allows for the optimum grip on all badminton surfaces.

EVA foam and Gum Rubber sole construction.MaterialRubber Synthetic Material 						",5148,6126.12,ADIDAS BT Boom Mens Badminton Shoe,ADIDAS,UK5;UK5.5;UK6;UK6.5;UK7;UK7.5;UK8;UK8.5;UK9;UK9.5;UK10;UK10.5;UK11;UK11.5;UK12,,http://products.activinstinct.com/y2013/m08/375521/33682431-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
380357-G96433,"
							An excellent all-round court shoe.

This features a perforated upper for reduced weight and added breathability, as well as a comfortable textile lining and EVA insole for comfort. The Torsion system ensures midfoot integrity and adiPRENE under the heel provides superior cushioning at the point of impact as well as maintaining propulsion and efficiency.

There is adiTUFF technology to provide the best possible abrasion resistance in the toe area, while there is a non-marking rubber outsole.MaterialRubber Synthetic 						",5148,6126.12,ADIDAS Essence 10 Unisex Court Shoe,ADIDAS,UK7;UK10;UK10.5;UK12,,http://products.activinstinct.com/y2013/m09/380357/97633097-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
387953-202211,,5029.83,5985.4977,UNSQUASHABLE Pro Junior Squash Racket,UNSQUASHABLE,,,http://products.activinstinct.com/y2013/m10/387953/16331601-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
418392-190078-101,,4912.83,5846.2677,K-SWISS Basic II Ladies Skirt,K-SWISS,XS;S;M;L,,http://products.activinstinct.com/y2014/m03/418392/75010998-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
405090-WR3115560 / WR3115930,"
							The Wilson Solana Colourblock 13.5? Ladies Tennis Skirt is designed for performance and comfort on court with a 13.5? length skirt and built in compression short. Performance polyester/spandex jersey knit body ensures freedom of movement whilst Wilson signature ball pockets allow for easy uninterrupted removal of tennis balls.

Features:

Nanowik technology that moves moisture away from the skin for superior comfort
Construction: 89% Polyester, 11% Spandex Jersey KnitMaterialSpandex 11%Polyester Fabric 89%						",4912.83,5846.2677,"WILSON Solana Colourblock 13.5"" Ladies Tennis Skirt",WILSON,XS;S;M;L;Blue;Red,,http://products.activinstinct.com/y2014/m01/405090/83133278-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif,,
