SKU,Description,SP,CP,SP,productname,Brand,Size,imgurl,Stock
310270-02649-153-M,"
							The K-Swiss Grancourt II Tennis Shoe provides affordable performance on the court and is a great entry level shoe. This shoe features a design and construction that pays homage to classic tennis design whilst ensuring durability comfort and performance.

The Upper is constructed from leather and features a reinforced toe area ensuring both comfort and durability.

K-EVA in the midsole provides excellent cushioning and durability whilst the Shock spring ensures superior cushioning in the heel and forefoot.

Solid rubber outsole provides for enhanced traction and durability.MaterialSynthetic Leather Rubber 						",44.99,5999,7018.83,K-SWISS Grancourt II Omni Men's Tennis Shoes,K-SWISS,UK9;UK9.5,"http://products.activinstinct.com/y2012/m09/310270/39245996-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
425524-631653-400,"
							The Nike Lunar Ballistec Men's Tennis Shoe features Dynamic Flywire technology for ultra lightweight support and a glove-like fit you can customise by adjusting the laces. Advanced Lunarlon delivers superior cushioning without added bulk, and Nike DragOn technology provides support, durability and stability.

Benefits

Combination synthetic leather and mesh upper for lightweight comfort and durability
Dynamic Flywire technology for customisable ultra-lightweight support
DragOn technology at medial side for support, durability and stability
Ultra-lightweight, springy Lunarlon cushioning for soft yet responsive shock absorption
TPU midfoot shank for lateral support and stability for quick directional changes and sprints
XDR outsole for extreme durability and targeted traction

Product Details

Lateral outrigger for enhanced stability
Herringbone pattern for durable, multi-surface traction
Flex grooves for enhanced articulation and flexibilityMaterialRubber Synthetic Material 						",107.99,12299,14389.83,NIKE Lunar Ballistec Men's Tennis Shoe,NIKE,UK9;UK9.5;UK10;UK10.5;UK11,"http://products.activinstinct.com/y2014/m04/425524/99520627-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
400510-MC696WS,"
							Serving up a performance tennis shoe with a sportier silhouette and more athletic fit, the 696 features Abzorb midfoot cushioning for exceptional shock absorption and an Ndurance rubber outsole for maximum durability.

Features:

12mm drop
Leather upper
IMEVA
Herringbone outsole
Non-marking outsoleMaterialRubber Leather 						",44.99,5999,7018.83,NEW BALANCE MC696 Men's Tennis Shoes,NEW,UK9.5;UK10.5,"http://products.activinstinct.com/y2013/m12/400510/24355254-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
433331-85101003 / 85131002 / 85131003-52,"
							Great sunglasses for competitive racing, as well as the commute, these come with their own soft carry case and hard carry case.

The Megol design is made up of hypoallergenic material and is particularly soft. It improves grip on the face and so helps avoid slipping.

Features:

Optical adaptor
Polycarbonate lens
Interchangeable lens
Water-repellent
Adjustable nose pad and temple tips
Anti-sweat support						",53.99,6899,8071.83,NORTHWAVE Razer Sunglasses,NORTHWAVE,White/Red/Black;Black;Black/White,"http://products.activinstinct.com/y2014/m06/433331/37560059-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
22444-CT323,"
							Zsig are at the forefront of creative coaching equipment and training aids for all racket sports encouraging the development of the next generation of sports stars.

This four metre footwork ladder is a superb training aid for developing foot speed - a much needed skill for all sportspersons looking to enhance their performance.

It features flat, safety 'rungs' and is easy to carry - folds away into its own carry bag.						",26.99,4199,4912.83,ZSIG TENNIS Throw Down Footwork Ladder,ZSIG,,"http://products.activinstinct.com/y2008/m12/22444/36858458-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
415334--,"
							The Twister series includes a variety of lightweight, durable, comfortable and secure-wearing models. Adaptable for different activities and day to day life, each frame includes high optical clarity, lightweight and shatterproof lenses, with additional lenses available for different conditions.

Flexible frames make it easy to swap lenses. The half-frame design gives you obstruction-free view, making it perfect for sport and physical activities. The frame structure around the eyes provide a secure aerodynamic fit.

All have rubber components which create non-slip grip and add comfort to the incredibly lightweight frame.

Shiny black frame with red features. This frame comes with smoke mirror, orange and yellow polycarbonate lenses.						",27.99,4299,5029.83,SUNWISE Twister Interchangeable Sunglasses Orange,SUNWISE,,"http://products.activinstinct.com/y2014/m03/415334/44190711-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
346747--,"
							The Twister series includes a variety of lightweight, durable, comfortable and secure-wearing models. Adaptable for different activities and day to day life, each frame includes high optical clarity, lightweight and shatterproof lenses, with additional lenses available for different conditions.

Flexible frames make it easy to swap lenses. The half-frame design gives you obstruction-free view, making it perfect for sport and physical activities. The frame structure around the eyes provide a secure aerodynamic fit.

All have rubber components which create non-slip grip and add comfort to the incredibly lightweight frame.

Shiny black frame with red features. This frame comes with smoke mirror, orange and yellow polycarbonate lenses.						",27.99,4299,5029.83,SUNWISE Twister Interchangeable Sunglasses Black,SUNWISE,,"http://products.activinstinct.com/y2013/m03/346747/79339340-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
280692-9X317000,,27.99,4299,5029.83,PRINCE Court Line Set with Bag,PRINCE,,"http://products.activinstinct.com/y2012/m03/280692/78049849-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
2865-Z2573,"
							Take the court with you with these Tennis Court Lines that form a min-court wherever you choose to play. There's no stopping the game with a versatile set of 4 corners and 12 straight lines, made of a non-slip urethane.
Features:
4 corners
12 straight lines						",27.99,4299,5029.83,PRINCE EZ Tennis Court Lines ,PRINCE,,"http://products.activinstinct.com/y2008/m12/2865/97614543-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
167037-WRZ323700,"
							The perfect tool for managing your tennis balls for the hours spent on the practice court. Fine-tune your game with a stable, durable ball hopper that holds up to 75 balls.

The handles fold down to create legs that lock in place for stability.

Features:

No spill lid
Handles convert to lock-in place legs
Durable steel construction
Quick, easy assembly with instructions and tool included.						",29.99,4499,5263.83,WILSON 75 Tennis Ball Basket,WILSON,,"http://products.activinstinct.com/y2010/m03/167037/49710296-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
280690-9X332000,,29.99,4499,5263.83,PRINCE Training Ladder with Bag,PRINCE,,"http://products.activinstinct.com/y2012/m03/280690/99581916-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
5014,"
							The Ballhopper Hi-Rise 75 features a strengthened weld design, Diamond Clad weather resistant coating, and unique wear bumpers for durability. Convenient handles make for easy pick-up and flip over to stand basket at fingertip height. The attached lid prevents accidental spilling.						",29.99,4499,5263.83,GAMMA Hi Rise75 Tennis Ball Basket,GAMMA,,"http://products.activinstinct.com/y2008/m12/5014/80134099-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
228974-CBP-70,,29.99,4499,5263.83,TOURNA Classic Ballport (Holds 70 Balls),TOURNA,,"http://products.activinstinct.com/y2011/m06/228974/70080042-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
27383-Z4840,,29.99,4499,5263.83,WILSON Premium Leather Replacement Grip (Pack of 3),WILSON,,"http://products.activinstinct.com/y2009/m02/27383/27383-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
5020-T411,"
							With the capacity to carry up to 150 tennis balls, this bag is ideally suited to practise sessions on the court. Whether it is going through drills or loading up a ball machine, at some point those balls all have to be gathered up again. This lightweight, flexible bag is a brilliant and simple way to transport and store your tennis balls.

The GAMMA EZ Travel Cart Spare Bag is a spare durable nylon bag that clips securely into the top of the GAMMA EZ Travel Cart.						",29.99,4499,5263.83,GAMMA EZ Travel Cart Spare Bag ,GAMMA,,"http://products.activinstinct.com/y2008/m12/5020/84795692-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
346736--,"
							The Windrush series includes a variety of lightweight, durable, comfortable and secure-wearing models. Adaptable for different activities and day to day life, each frame includes high optical clarity, lightweight and shatterproof lenses, with additional lenses available for different conditions.

Flexible frames make it easy to swap lenses. The half-frame design gives you obstruction-free view, making it perfect for sport and physical activities. The frame structure around the eyes provide a secure aerodynamic fit.

All have rubber components which create non-slip grip and add comfort to the incredibly lightweight frame.

Matte black frame with orange features. This frame comes with smoke mirror, orange, yellow and clear polycarbonate lenses.						",30.99,4599,5380.83,SUNWISE Windrush Interchangeable Sunglasses Pink,SUNWISE,,"http://products.activinstinct.com/y2013/m03/346736/98147539-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
346729--,"
							The Windrush series includes a variety of lightweight, durable, comfortable and secure-wearing models. Adaptable for different activities and day to day life, each frame includes high optical clarity, lightweight and shatterproof lenses, with additional lenses available for different conditions.

Flexible frames make it easy to swap lenses. The half-frame design gives you obstruction-free view, making it perfect for sport and physical activities. The frame structure around the eyes provide a secure aerodynamic fit.

All have rubber components which create non-slip grip and add comfort to the incredibly lightweight frame.

Pearl white frame with yellow features. This frame comes with smoke mirror, orange, yellow and clear polycarbonate lenses.						",30.99,4599,5380.83,SUNWISE Windrush Interchangeable Sunglasses Green,SUNWISE,,"http://products.activinstinct.com/y2013/m03/346729/45068264-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
415336--,"
							The Windrush series includes a variety of lightweight, durable, comfortable and secure-wearing models. Adaptable for different activities and day to day life, each frame includes high optical clarity, lightweight and shatterproof lenses, with additional lenses available for different conditions.

Flexible frames make it easy to swap lenses. The half-frame design gives you obstruction-free view, making it perfect for sport and physical activities. The frame structure around the eyes provide a secure aerodynamic fit.

All have rubber components which create non-slip grip and add comfort to the incredibly lightweight frame.

Pearl white frame with yellow features. This frame comes with smoke mirror, orange, yellow and clear polycarbonate lenses.						",30.99,4599,5380.83,SUNWISE Windrush Interchangeable Sunglasses Blue,SUNWISE,,"http://products.activinstinct.com/y2014/m03/415336/19433415-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
415338--,"
							The Sunwise Evenlode Black Sunglasses includes 4 sets of high optical clarity and shatterproof 1st class lenses to ensure the very best visibility whatever the light conditions. The Evenlode with its wider lens coverage provides protection to your eyes from sunlight, wind, sand and flying objects. Features a lightweight, rubber injected frame with adjustable nose pad for everyday wearing.

Features:

Shiny black frame
Matt black arms with black features
Smoke mirror polycarbonate lens
Orange polycarbonate lens
Yellow polycarbonate lens
Clear polycarbonate lens						",32.99,4799,5614.83,SUNWISE Evenlode Interchangeable Sunglasses Black,SUNWISE,,"http://products.activinstinct.com/y2014/m03/415338/39760223-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4158-P13/200,"
							Exceptional durability and control in a string that provides exceptional value.


Monofilament construction.
Ideal for string breakers or in value hybrids combined with an all-round synthetic gut.

Gauge: 1.30mm						",33.59,4859,5685.03,PRINCE Tournament Poly 16 Tennis String Reel (200M) ,PRINCE,,"http://products.activinstinct.com/y2008/m12/4158/52454960-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4156-P10/100,"
							The industry standard in synthetic gut.


The standard for consistent, comfortable all-round performance.
Outer wraps provide more feel.
Centre core adds strength and tension retention.

Gauge: 1.30mm						",33.59,4859,5685.03,PRINCE Synthetic Gut Original 16 Tennis String Reel (100m) ,PRINCE,,"http://products.activinstinct.com/y2008/m12/4156/96381245-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
388819-488144-009,"
							Designed to take on heated matches, the Nike Air Courtballistec 4.1 Men's Tennis Shoe is ultra-durable without sacrificing comfort. Perforations throughout help increase airflow, while wrapped synthetic leather keeps the foot protected. Nike Air cushioning provides a comfortable fit that helps absorb impact.

Benefits

Synthetic leather upper for lightweight durability and comfort
Molded overlay at the vamp for durability
Nike Air unit in the heel for cushioning
Midfoot shank for support and stability during quick movement and directional changes
Flex grooves at the outsole for flexibility and enhanced range of motion

Additional Details

Outsole wraps the upper for durability
Phylon midsole for lightweight cushioning
Multi-surface traction pattern for versatile tractionMaterialRubber Synthetic Material 						",34,4900,5733,NIKE Air Courtballistec 4.1 Men's Tennis Shoes,NIKE,,"http://products.activinstinct.com/y2013/m10/388819/39712006-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
416960-WRZ997900,,34.99,4999,5848.83,WILSON Champions Choice Duo Tennis String,WILSON,,"http://products.activinstinct.com/y2014/m03/416960/33898534-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
281254--,"
							Sunwise Interchangeables are a range made up of lightweight, comfortable models. The added bonus is that each frame comes with three additional sets of lenses, all of which are high definition and made of shatterproof polycarbonate. This means that you can alter the protection and visibility depending on the strength of the sun on any particular day.

These impressive sunglasses are tested, reviewed, ready-to-wear and highly recommended by professional sportspeople for all sports &amp; outdoor activities. Regardless of whether you're into running, playing cricket, cycling, or if it's skiing, hiking or walking, there is a style to suit you.

Multi-layer polycarbonate lenses feature nine surface layers, providing superior protection for strong glare settings such as ski slopes or the midday sun, to enhance visibility and comfort.

This Interchangeable range can be accommodated to suit different needs and conditions, and then can be easily modified whenever you choose.


Lightweight and secure fitting
Half-frame creates obstruction-free peripheral vision
Panoramic view enables maximum eye protection
100% protection against harmful ultraviolet rays
Clear, low, medium, strong light interchangeable lenses with each pair
Optional Anti-Fog lenses
Rubber nose pads and sleeves for maximum comfort and secure fit
Superb visibility in strong glare positions
Flat arms profile perfect for wearing under a cap or helmet						",34.99,4999,5848.83,SUNWISE Interchangeable Windrush Sunglasses White,SUNWISE,,"http://products.activinstinct.com/y2012/m03/281254/54925140-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
220071--,"
							Sunwise Interchangeables are a range made up of lightweight, comfortable models. The added bonus is that each frame comes with three additional sets of lenses, all of which are high definition and made of shatterproof polycarbonate. This means that you can alter the protection and visibility depending on the strength of the sun on any particular day.

These impressive sunglasses are tested, reviewed, ready-to-wear and highly recommended by professional sportspeople for all sports &amp; outdoor activities. Regardless of whether you're into running, playing cricket, cycling, or if it's skiing, hiking or walking, there is a style to suit you.

Multi-layer polycarbonate lenses feature nine surface layers, providing superior protection for strong glare settings such as ski slopes or the midday sun, to enhance visibility and comfort.

This Interchangeable range can be accommodated to suit different needs and conditions, and then can be easily modified whenever you choose.


Lightweight and secure fitting
Half-frame creates obstruction-free peripheral vision
Panoramic view enables maximum eye protection
100% protection against harmful ultraviolet rays
Clear, low, medium, strong light interchangeable lenses with each pair
Optional Anti-Fog lenses
Rubber nose pads and sleeves for maximum comfort and secure fit
Superb visibility in strong glare positions
Flat arms profile - perfect for wearing under a cap or helmetMaterialNone 						",34.99,4999,5848.83,SUNWISE Interchangeable Equinox RM White Sunglasses,SUNWISE,,"http://products.activinstinct.com/y2011/m03/220071/89025831-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
220069--,"
							Sunwise Interchangeables are a range made up of lightweight, comfortable models. The added bonus is that each frame comes with three additional sets of lenses, all of which are high definition and made of shatterproof polycarbonate. This means that you can alter the protection and visibility depending on the strength of the sun on any particular day.

These impressive sunglasses are tested, reviewed, ready-to-wear and highly recommended by professional sportspeople for all sports &amp; outdoor activities. Regardless of whether you're into running, playing cricket, cycling, or if it's skiing, hiking or walking, there is a style to suit you.

Multi-layer polycarbonate lenses feature nine surface layers, providing superior protection for strong glare settings such as ski slopes or the midday sun, to enhance visibility and comfort.

This Interchangeable range can be accommodated to suit different needs and conditions, and then can be easily modified whenever you choose.


Lightweight and secure fitting
Half-frame creates obstruction-free peripheral vision
Panoramic view enables maximum eye protection
100% protection against harmful ultraviolet rays
Clear, low, medium, strong light interchangeable lenses with each pair
Optional Anti-Fog lenses
Rubber nose pads and sleeves for maximum comfort and secure fit
Superb visibility in strong glare positions
Flat arms profile perfect for wearing under a cap or helmetMaterialNone 						",34.99,4999,5848.83,SUNWISE Interchangeable Windrush Black Sunglasses,SUNWISE,,"http://products.activinstinct.com/y2011/m03/220069/34810576-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
319970-TIFJETGB,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

The Tifosi Jet Single Lens Sunglasses feature polycarbonate, ventilated, decentred lenses for perfect performance in all conditions. Ventilation increases airflow and decreases fogging in changeable conditions.

Knowing that you'll be competing while wearing them, the glasses have been designed to increase grip when in contact with sweat. Hydrophilic rubber resists aging and UV breakdown as well as providing a no-slip fit at the rubber ear and nose pieces.

Fits small to large faces

Weight 27g						",34.99,4999,5848.83,TIFOSI Gloss Black Jet Single Lens Sunglasses,TIFOSI,,"http://products.activinstinct.com/y2012/m10/319970/97530273-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
18398-CT140,"
							Zsig are at the forefront of creative coaching equipment and training aids for all racket sports encouraging the development of the next generation of sports stars.

These instant 'throw down' line markings are a useful training aid allowing you to quickly set up a court on any surface and get a game up and running quickly.

These are tough, brightly coloured, durable lines with a textured underside and bevelled edges to prevent tripping.

Size: 45cm x 7. 3cm						",34.99,4999,5848.83,ZSIG TENNIS Throw Down Lines -Set 24,ZSIG,,"http://products.activinstinct.com/y2008/m12/18398/41270823-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
756,,34.99,4999,5848.83,BALLPORT Unique Ballport 36 Tennis Ball Basket,BALLPORT,,"http://products.activinstinct.com/y2008/m12/756/67283418-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
388884-488136-600,"
							Command the court in the Nike City Court VII Ladies Tennis Shoe. Featuring a premium leather upper, this shoe provides a snug, comfortable fit. Lightweight cushioning protects the foot from impact, while the herringbone pattern at the outsole provides excellent traction.

Benefits:

Leather upper for durability and a comfortable fit.
Mesh tongue for breathability and comfort
Phylon midsole for lightweight cushioning
Flex grooves at the outsole for enhanced flexibility and a more natural range of motion

Additional Details:

Perforations at the uppers for enhanced ventilation
Herringbone pattern at the outsole for traction
Rubber outsole for durabilityMaterialRubber Synthetic Material 						",35.99,5099,5965.83,NIKE City Court VII Ladies Tennis Shoes,NIKE,,"http://products.activinstinct.com/y2013/m10/388884/70128000-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170709- ,"
							The KIRSCHBAUM Basic Nylon 1.35mm 200m Tennis String Reel is an economical and durable string. This is a great value string that is perfect forleisure time players and children alike.

Synetic Gut String
Gauge: 1.35mm						",36,5100,5967,KIRSCHBAUM Basic Nylon 1.35mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170709/62304280-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170707- ,"
							The The KIRSCHBAUM Basic Nylon 1.30mm 200m Tennis String Reel is an economical and durable string. This is a great value string that is perfect forleisure time players and children alike.


Synetic Gut String
Gauge: 1.30mm						",36,5100,5967,KIRSCHBAUM Basic Nylon 1.30mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170707/51996700-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
345593-E255Y-0134,"
							Upper constructed from nylon and synthetic leather for comfort, support and durability.

The forefoot GEL cushioning system consists of a silicone-based material placed in critical areas of the sole which dampens shock when the foot hits the ground, allowing for smoother movement through the gait cycle.

There is a non-marking outsole that makes it suitable for different courts.MaterialMesh Rubber Synthetic 						",39.99,5499,6433.83,ASICS Gel-Estoril Court Ladies Tennis Shoes,ASICS,,"http://products.activinstinct.com/y2013/m02/345593/57933696-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
19173-KA665A,,39.99,5499,6433.83,KARAKAL Assorted Colours Universal PU Replacement Grip (Box of 24) ,KARAKAL,,"http://products.activinstinct.com/y2008/m12/19173/19173-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
5013-T402,"
							The HOAG tennis ball basket holds 50 standard-sized tennis balls and is manufactured with an unbreakable basket bottom, constructed without welds.

The bottom wires have plastic wear feet.

Assembled at the factory prior to shipment, adding protection along entire contact points

Also features an extremely functional Lid.						",39.99,5499,6433.83,Hoag 50 Ball Basket,Hoag,,"http://products.activinstinct.com/y2008/m12/5013/5013-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
5018-T406,"
							The HOAG Carrying Tray is ideal for those professional tennis teachers who have to travel as part of their daily duties.

The tray is ready to use, requires no assembly and the extremely convenient collapsible button-locking legs make it easy to transport.						",39.99,5499,6433.83,HOAG Additional Carrying Tray for Teach n Travel Cart,HOAG,,"http://products.activinstinct.com/y2008/m12/5018/90545407-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
755,,39.99,5499,6433.83,BALLPORT Unique Ballport 80 Tennis Ball Basket,BALLPORT,,"http://products.activinstinct.com/y2008/m12/755/755-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
322314-15040,"
							A brilliant piece of training equipment to improve your reaction and hand-eye coordination.

Used by the Ashes winning England Cricket team, as well as India, South Africa, Australia and Bangladesh, this is the only rebound net on the market with both a 'sane' and 'insane' side to improve your coordination, peripheral vision and reaction speeds.

The Crazy Catch is also used by other international sports including GB Hockey, GB Badminton and Scottish Rugby. Now you can enjoy the same benefits at your training sessions, or even in your own back garden, on the beach or in the park.

The Crazy Catch Freestyle is small and compact and a lot of fun. This unique hand held rebound net offers a variety of training and game options. The Freestyle net is two sided, featuring a SANE and INSANE unpredictable ball return.

For use indoors and out, and in a convenient size, make this practical for a variety of training sessions. The Crazy Catch Freestyle is perfect for the serious or developing sports person, brilliant for helping build reaction times and skill development.


Size: 520mm (w) x 520mm (h)						",39.99,5499,6433.83,CRAZY CATCH Freestyle,CRAZY,,"http://products.activinstinct.com/y2012/m11/322314/35509114-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
10768-tpe120,,39.99,5499,6433.83,GAMMA Tennis Rebound Spare Net ,GAMMA,,"http://products.activinstinct.com/y2008/m12/10768/10768-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
5481-KA667,,39.99,5499,6433.83,KARAKAL Black Universal PU Replacement Grip - Box of 24 ,KARAKAL,,"http://products.activinstinct.com/y2008/m12/5481/5481-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
331756-93027-193-M,"
							The K-Swiss Big Shot Light Tennis Shoe is based on the all-conquering Big Shot II with a design that borrows elements to ensure that you get the utmost in comfort and performance in a package that offers great value.

Durawrap technology provides an extra line of defence against excessive toe-dragging. The Aosta 70 rubber compound outsole features lateral support outrigger providing further comfort and support.

K-EVA specialized EVA provides maximized cushioning and enhanced durability.Y-beam technology, a mid-foot support structure, anchors the arch area with a TPU injection component.

Fitted with K-Swiss Draguard technology, located in high wear areas of the toe and heel offer increased abrasion-resistance.MaterialRubber Synthetic Material 						",44.99,5999,7018.83,K-SWISS Big Shot Light Ladies Tennis Shoe,K-SWISS,,"http://products.activinstinct.com/y2012/m12/331756/48447099-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
249218-TIFVOG,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

The glasses feature Polycarbonate decentred lenses which are specifically shaped to eliminate distortion and provide sharp peripheral vision. These lenses offer 100% protection form UVA and UVB rays.

Knowing that you'll be competing while wearing them, the glasses have been designed to increase grip when in contact with sweat. Hydrophilic rubber resists aging and UV breakdown as well as providing a no-slip fit at the rubber ear and nose pieces.


Fits small to large faces
Weight: 24g						",44.99,5999,7018.83,TIFOSI Vogel Sunglasses,TIFOSI,,"http://products.activinstinct.com/y2011/m10/249218/22083324-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
229059-TDRI-R,,44.99,5999,7018.83,TOURNA Dri Squeegee Replacement Roller,TOURNA,,"http://products.activinstinct.com/y2011/m06/229059/84123215-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
229039-SC-W,,44.99,5999,7018.83,TOURNA Score Tube,TOURNA,,"http://products.activinstinct.com/y2011/m06/229039/31628664-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
5012-T401,"
							The HOAG tennis ball basket holds 72 standard-sized tennis balls and is manufactured with an unbreakable basket bottom, constructed without welds.

The bottom wires have plastic wear feet.

Assembled at the factory prior to shipment, adding protection along entire contact points

Also features an extremely functional Lid.

Royal Blue.						",44.99,5999,7018.83,HOAG 72 Tennis Ball Basket,HOAG,,"http://products.activinstinct.com/y2008/m12/5012/5012-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
286513-TIFSEEFC5,"
							Tifosi is the Italian word for ""super-enthusiast"", and so provide eyewear that is comfortable, hard-wearing and high performing for a range of outdoor activities.

These sunglasses feature polycarbonate, decentred lenses. Knowing that you'll be competing while wearing them, the glasses have been designed to increase grip when in contact with sweat. Hydrophilic rubber resists aging and UV breakdown as well as providing a no-slip fit at the rubber ear and nose pieces.


Fits small and large faces
Weight: 26g						",44.99,5999,7018.83,TIFOSI Metallic Red Seek FC Sunglasses,TIFOSI,,"http://products.activinstinct.com/y2012/m04/286513/55939230-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170596- ,"
							By using the Kirschbaum SUPER SMASH both tournament and ambitious recreational players profit from important string characteristics, like power, control and durability in an optimum combination. The unique choice of 7 diameters enables the player to fit the string to the racket and his personal demand.

Gauge: 1.30mm
unique availability of 7 diameters
optimum combination of Power and control
high durability
best quality at a good pricing						",45.59,6059,7089.03,KIRSCHBAUM Super Smash 1.30mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170596/64864058-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
170594- ,"
							By using the Kirschbaum SUPER SMASH both tournament and ambitious recreational players profit from important string characteristics, like power, control and durability in an optimum combination. The unique choice of 7 diameters enables the player to fit the string to the racket and his personal demand.

Gauge: 1.25mm
unique availability of 7 diameters
optimum combination of Power and control
high durability
best quality at a good pricing						",45.59,6059,7089.03,KIRSCHBAUM Super Smash 1.25mm Tennis String Reel (200m),KIRSCHBAUM,,"http://products.activinstinct.com/y2010/m04/170594/57439890-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
4197-GG14/220,,45.98,6098,7134.66,GAMMA Advantage Reel 220M Tennis String ,GAMMA,,"http://products.activinstinct.com/y2008/m12/4197/36808648-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
10689-PT7/200,,47.33,6233,7292.61,APOLLO Leisure Red Elite 16 Reel 220M Tennis String ,APOLLO,,,
360793-BMA425,"
							This water resistent cover will protect the machine from dust, debris, leaves, etc. It should not be used to leave the machine out on the court in the weather. The machine can still be wheeled while using this cover.

Can be used for Pro 1 and Pro 2 Tennis Ball Machines.MaterialNylon 						",49.99,6499,7603.83,SPINFIRE Pro 2 Cover,SPINFIRE,,"http://products.activinstinct.com/y2013/m05/360793/79446610-n.jpg,http://assets.activinstinct.com/images/language/en/btn-click-to-zoom.gif",
