Category,SKU,Variant,MRP,productname,stock,imgurl,Description
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Front Derailleur Tx51 7/6(Tourney 48-38-28T)"",""price"":""458.2"",""sku"":""86421430"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 458.20,Shimano Front Derailleur Tx51 7/6(Tourney 48-38-28T),This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shimano TX51 Front Derailleur (Tourney)</p>
<p>Range: 48-38-28</p>
<p>Model: EFDTX51LX6</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Front Derailleur TZ30 (42T)"",""price"":""205.9"",""sku"":""86421431"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 205.90,Shimano Front Derailleur TZ30 (42T),This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shimano Front Derailleur TZ30</p>
<p>Model: AFDTZ30TM6X</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Front Hub  RM-66 Center Lock"",""price"":""920.75"",""sku"":""86421458"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 920.75,Shimano Front Hub  RM-66 Center Lock,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Front Hub</p>
<p>RM-66</p>
<p>Center Lock Disc Brake Mount Standard,</p>
<p>32 Hole,</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Hub Front M475L 6Bolt Disc Brake Mount"",""price"":""1106.35"",""sku"":""86421457"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,106.35",Shimano Hub Front M475L 6Bolt Disc Brake Mount,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Front Hub</p>
<p>M475L</p>
<p>6 Bolt Disc Brake Mount Standard</p>
<p>32 Hole</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Hub Rear M475L, 32H, 8/9Speed, 6Bolt, Disc Brake"",""price"":""1621.1"",""sku"":""86421452"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,621.10","Shimano Hub Rear M475L, 32H, 8/9Speed, 6Bolt, Disc Brake",This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shimano Rear Hub </p>
<p>M475</p>
<p>Black Color</p>
<p>32 Hole</p>
<p>8/9 Speed Compatible, </p>
<p>6 Bolt Brake Mount Standard for Disc Brake.</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano MF-TZ21 7-speed (14 28T)"",""price"":""540.0"",""sku"":"""",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 540.00,Shimano MF-TZ21 7-speed (14 28T),Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><span class=""auction_title"">New Shimano MF-TZ21 7-Speed Freewheel Cassette 14-28T</span></p>
<p>Specification:</p>
<ul>
<li>Model Number: MF-TZ21 Freewheel</li>
<li>Speed: 7-speed</li>
<li>Sprocket size: 14-16-18-20-22-24-28t</li>
<li>Fits most MTB, comfort and trekking bike</li>
<li>Weight: apox. 420g</li>
</ul>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Rear Derailleur 2200-8speed"",""price"":""1219.45"",""sku"":""86421432"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,219.45",Shimano Rear Derailleur 2200-8speed,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shimano Rear Derailleur 2200</p>
<p>8 speed</p>
<p> </p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Rear Derailleur 2300-8 Speed"",""price"":""1306.45"",""sku"":""86421433"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,306.45",Shimano Rear Derailleur 2300-8 Speed,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shimano Rear Derailleur 2300</p>
<p>8 Speed Derailleur</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Rear Derailleur 3500-9 Speed SORA"",""price"":""1661.7"",""sku"":""86421434"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,661.70",Shimano Rear Derailleur 3500-9 Speed SORA,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shimano Rear Derailleur 3500 Sora</p>
<p>9 speed</p>
<p> </p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Rear Derailleur 4601, Tiagra, SS 10 Speed"",""price"":""3725.05"",""sku"":""86421435"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 3,725.05","Shimano Rear Derailleur 4601, Tiagra, SS 10 Speed",This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shimano Rear Derailleur 4601</p>
<p>Tiagra 10 Speed</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Rear Derailleur 5700A-S, 105SS 10S"",""price"":""4898.1"",""sku"":""86421436"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 4,898.10","Shimano Rear Derailleur 5700A-S, 105SS 10S",This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  
                </p>
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Rear Derailleur A050 - 7 Speed"",""price"":""551.0"",""sku"":""86421437"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,Rs 551.00,Shimano Rear Derailleur A050 - 7 Speed,This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  
                </p>
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Rear Hub RM66 Center lock Disc Brake Mount, 8/9Speed"",""price"":""1305.45"",""sku"":""86421453"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,305.45","Shimano Rear Hub RM66 Center lock Disc Brake Mount, 8/9Speed",This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Rear Hub</p>
<p>RM66</p>
<p>Center Lock Disc Brake Mount</p>
<p>32 Holes</p>
<p>8 - 9 Speed Compatible</p>
                
              </div>"
Spares,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shimano Saint Crank M810-1, Hollowtech 2, 34T"",""price"":""27426.75"",""sku"":""86421415"",""categories"":[""brand/shimano"",""product/spares""]},""category"":{""name"":""product/spares""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 27,426.75","Shimano Saint Crank M810-1, Hollowtech 2, 34T",This item is currently out of stock,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><h2>Shimano Saint M815 Crankset</h2>
<p>The extreme duty Hollowtech II Saint crank arms drop nearly 150g in weight and are over 200% stiffer than Deore XT.</p>
<ul>
<li>Hollowtech II Design - For the first time, Saint uses the same exotic Duralumin material featured in XTR and Dura Ace cranks for a crank and spider that are over 2 times as stiff as Deore XT.</li>
<li>FC-M815 - 83mm shell.</li>
<li>Longer BB Adapter Cups - New longer bottom bracket adapters stay put even when pushed to the limit and improve compatibility with aftermarket chain guides.</li>
</ul>
<p>Model: FC M810-1</p>
                
              </div>"
Park Tool,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Shop Screwdriver Set"",""price"":""1000.0"",""sku"":""86421265"",""categories"":[""brand/park-tool"",""category/tools-and-maintainence""]},""category"":{""name"":""brand/park-tool""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,000.00",Shop Screwdriver Set,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Shop quality screwdrivers designed for comfort and durability. Featuring dual density grips and heat-treated, chrome vanadium tips and shafts.</p>
<p>The SD-SET includes all four of our shop grade screwdrivers in one handy set:</p>
<ul>
<li>SD-0</li>
<li>SD-2</li>
<li>SD-3</li>
<li>SD-6</li>
</ul>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 1009 Cyclocomputer"",""price"":""2067.0"",""sku"":""86421095"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 2,067.00",Sigma BC 1009 Cyclocomputer,Delivered in 15 to 20 business days,"/spree/products/155/product/sigma_1009_1.jpg?1349961667,/spree/products/156/product/sigma_1009_2.jpg?1349961684","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>General Functions Languages setting, 7 languages Automatic start/stop Battery status display Backup function (storage chip) Bike Functions Actual speed Average speed Maximum speed Trip distance Comparison of current and average speed Total distance (not shown while riding) Time Functions Riding time Clock Total distance (Not shown while riding)</p>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 1009 STS"",""price"":""3912.0"",""sku"":""86421096"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 3,912.00",Sigma BC 1009 STS,Delivered in 3 to 5 business days,"/spree/products/157/product/sigma_1009_sts_1.jpg?1349962044,/spree/products/158/product/sigma_1009_sts_2.jpg?1349962074","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Wireless, simple to operate and precise. The BC 1009 STS has all the essential functions including average speed, maximum speed, current/average speed comparison, and total trip time. Featuring a low battery indicator and integrated storage chip, you won't lose your settings or total values during a battery change.</p>
<p> </p>
<p>Simply easy to operate and enjoy. General Functions Auto start/stop Auto conversion between MPH &amp; KMH Large display with easy to read icons 7 available languages Integrated storage chip for data backup Low battery indicator (computer head &amp; transmitter) Weatherproof PC compatible Bike Functions Current speed Average speed Maximum speed Trip distance Current/Average speed comparison</p>
<p> </p>
<p>Total distance (not shown while riding) Time Functions Ride time Clock (12/24 hr) Total ride time (not shown while riding)</p>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 1609"",""price"":""2764.0"",""sku"":""86421097"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 2,764.00",Sigma BC 1609,Delivered in 15 to 20 business days,"/spree/products/159/product/sigma_1609.jpg?1350008243,/spree/products/160/product/sigma_1609_2.jpg?1350008269","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>The BC 1609 is ideally equipped for training purposes, with countdown, stopwatch and optional cadence measurement. The trip section counter offers tourers the important roadbook function.</p>
<p>Temperature display, 2 wheel size settings and an illuminated display round off the wide variety of functions. General Functions Languages setting, 7 languages 2 wheel sizes adjustable Automatic recognition of second bike Automatic start /stop Backlight Battery status display Backup function (storage chip) Current temperature Bike Functions Actual speed Average speed Maximum speed Trip distance. Comparison of current and average speed Programmable trip section counter forth/back Actual/Ø-cadence (optional)</p>
<p>Total distance bike 1/bike 2/bike 1+2 (Not shown while riding) Time Functions Riding time Clock Stopwatch Countdown timer Total ride time bike 1/bike 2/bike 1+2 (Not shown while riding)</p>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 1609 Wireless"",""price"":""5100.0"",""sku"":""86421099"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 5,100.00",Sigma BC 1609 Wireless,Delivered in 15 to 20 business days,"/spree/products/163/product/sigma_1609_sts.jpg?1350009614,/spree/products/164/product/sigma_1609_sts_2.jpg?1350009637","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>The BC 1609 STS is ideally equipped for training purposes, with countdown, stopwatch and optional cadence measurement. The trip section counter offers tourers the important roadbook function. Temperature display, 2 wheel size settings and an illuminated display round off the wide variety of functions.</p>
<p>General Functions Languages setting, 7 languages 2 wheel sizes adjustable Automatic recognition of second bike Automatic start /stop Backlight Battery status display receiver/transmitter Backup function (storage chip) Current temperature Bike Functions Actual speed Average speed Maximum speed Trip distance Comparison of current and average speed Programmable trip section counter forth/back Actual/Ø-cadence (optional)</p>
<p>Total distance bike 1/bike 2/bike 1+2 (Not shown while riding) Time Functions Riding time Clock Stopwatch Countdown timer Total ride time bike 1/bike 2/bike 1+2 (Not shown while riding)</p>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 1609 With Cadence"",""price"":""3153.0"",""sku"":""86421098"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 3,153.00",Sigma BC 1609 With Cadence,Delivered in 15 to 20 business days,"/spree/products/161/product/sigma_1609.jpg?1350009189,/spree/products/162/product/sigma_1609_2.jpg?1350009260","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>The BC 1609 STS is ideally equipped for training purposes, with countdown, stopwatch and optional cadence measurement. The trip section counter offers tourers the important roadbook function. Temperature display, 2 wheel size settings and an illuminated display round off the wide variety of functions General Functions Languages setting, 7 languages 2 wheel sizes adjustable.</p>
<p> </p>
<p>Automatic recognition of second bike Automatic start /stop Backlight Battery status display receiver/transmitter Backup function (storage chip) Current temperature Bike Functions Actual speed Average speed Maximum speed Trip distance Comparison of current and average speedProgrammable trip section counter forth/back Actual/Ø-cadence</p>
<p> </p>
<p>Total distance bike 1/bike 2/bike 1+2 (Not shown while riding) Time Functions Riding time Clock Stopwatch Countdown timer Total ride time bike 1/bike 2/bike 1+2 (Not shown while riding)</p>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 1909 HR"",""price"":""7970.0"",""sku"":""86421100"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 7,970.00",Sigma BC 1909 HR,Delivered in 15 to 20 business days,"/spree/products/165/product/sigma_1909.jpg?1350010061,/spree/products/166/product/sigma_1909_1.jpg?1350010078","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Sleek, modern, and full of features, this triple wireless computer is the perfect companion for training. Maximize your rides using the calorie counter, programmable heart rate functions and cadence.</p>
<p>Your fitness goals will be easier to achieve with the BC 1909 HR. Bike Functions Current speed Average speed Maximum speed Trip distance Current/Average speed comparison</p>
<p>Total distance bike 1, bike 2 &amp; bike 1+2 (not shown while riding) Current and average cadence Programmable trip section counter; up &amp; back Heart Rate Functions ECG-precise Current heart rate Average heart rate Maximum heart rate 1 programmable heart rate zone Visual zone alarm Calorie counter</p>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 2209MHR"",""price"":""9957.0"",""sku"":""86421101"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 9,957.00",Sigma BC 2209MHR,Delivered in 15 to 20 business days,"/spree/products/167/product/sigma_2209.jpg?1350010274,/spree/products/168/product/sigma_2209_1.jpg?1350010294","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>Modern and multi-functional. This triple wireless computer features altitude, speed, heart rate, cadence and temperature. Using the included wrist strap, you can even venture off the bike and record data. A large display and easy to navigate menu makes this computer essential for your next journey into the hills whether on the bike or on foot.</p>
<p>Additional Features:</p>
<p>Heart Rate Functions ECG-precise.</p>
<p>Current heart rate Average heart rate</p>
<p>Maximum heart rate Calorie counter Altitude Functions Current altitude Day's climb/descent (programmable)</p>
<p>Day's maximum altitude Total altitude uphill bike 1, bike 2 &amp; bike 1+2 (not shown while riding)</p>
<p>Hiking Functions Hiking Time Stopwatch Target Time (countdown timer)</p>
<p>Clock (12/24 hr)</p>
<p>Current temperature Current heart rate</p>
<p>Average heart rate Maximum heart rate Calorie counter Current altitude Day's climb/descent (programmable) Day's maximum altitude</p>
<p>Total day's climb Total hiking time</p>
                
              </div>"
�Cyclocomputers,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma BC 509 Cyclocomputer"",""price"":""1398.0"",""sku"":""86421094"",""categories"":[""product/accessories"",""category/cyclocomputers"",""brand/sigma""]},""category"":{""name"":""category/cyclocomputers""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,398.00",Sigma BC 509 Cyclocomputer,Delivered in 15 to 20 business days,"/spree/products/152/product/sigma_509_1.jpg?1349960936,/spree/products/153/product/sigma_509_2.jpg?1349960968","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p><strong>BC 509 Features</strong></p>
<p>General Functions</p>
<p>            Automatic start/stop</p>
<p>            Self-explaining icons</p>
<p>            Scan mode on/off</p>
<p>Bike Functions</p>
<p>            Actual speed</p>
<p>            Trip distance</p>
<p>            Total distance</p>
<p> Time Functions</p>
<p>            Time Functions</p>
<p>            Clock</p>
<p>Details</p>
<p> Optimised operating concept</p>
<p> Easy to set the computer and change the function display                     </p>
<p> Autoscan on/off</p>
<p> Automatic run through the pictograms. Mode only switched on and off in the settings menu</p>
<p> </p>
                
              </div>"
�Head Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma Cube Light II "",""price"":""1410.0"",""sku"":""86421075"",""categories"":[""product/accessories"",""category/lights/head-lights"",""category/lights"",""brand/sigma""]},""category"":{""name"":""category/lights/head-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,410.00",Sigma Cube Light II ,Delivered in 15 to 20 business days,"/spree/products/361/product/sigma-cubelight-2.jpg?1354040518,/spree/products/123/product/379.jpg?1349926819,/spree/products/121/product/377.jpg?1349926786","<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>With its new appearance, the very bright Cubelight II puts out more than 16 LUX from its halogen bulb and therefore achieves substantially higher values than is required by the German Road Traffic Licencing Regulations. The new 1500mAh rechargeable batteries supplied doubles the illumination time compared with the previous model! The 2-stage battery indicator provides information on the current battery life. CUBELIGHT II Features Halogen battery frontlight Super bright – up to 16 LUX Two-stage battery indicator Charging socket + charge status indicator Extremely simple battery change (5 x AA) Horizontal adjustment Tool-free click-mounting (Unifit 22-32mm) Watertight Click switch</p>
                
              </div>"
�Tail Lights,"
    var jirafe= {""id"":""59568"",""product"":{""name"":""Sigma Cube Rider II"",""price"":""1050.0"",""sku"":""86421074"",""categories"":[""product/accessories"",""category/lights"",""brand/sigma"",""category/lights/tail-lights""]},""category"":{""name"":""category/lights/tail-lights""}};
    (function(){
    var d=document,g=d.createElement('script'),s=d.getElementsByTagName('script')[0];
    g.type='text/javascript',g.defer=g.async=true;g.src=d.location.protocol+'//c.jirafe.com/jirafe.js';
    s.parentNode.insertBefore(g, s);
    })();
  ",,"Rs 1,050.00",Sigma Cube Rider II,Delivered in 15 to 20 business days,,"<div class=""productdetails_content "" data-hook=""product_properties"">
                
                
                <h5>Description</h5>
                <p class=""desc"">
                  </p><p>With five red high power LEDs plus the tried and tested 220° visible angle beam, you cannot be overlooked with the CUBERIDER II. Thanks to the 2 x AAA batteries, the rear light achieves an extremely long burn time of up to 60 h. The sturdy, flexible mount for the CUBERIDER II is assembled without tools and individually adjusted. Electronic LED tail light 5 high performance LEDs 2 modes: permanent and flashing Two-stage battery indicator Extremely simple battery change (incl. 2 x AAA) Fast tool-free mounting Extremely long burn time up to 60h Click switch Watertight</p>
                
              </div>"
